row,encryption_time_ms,qos_type,qod_model,qod_os_version,qos_operator,mos
1,7,0,0,0,0,0
2,7,4,3,2,2,3
3,7,5,14,17,4,5
4,7,2,15,11,2,4
5,8,2,8,4,2,5
6,7,4,15,11,4,5
7,7,3,14,17,4,4
8,8,5,6,14,4,5
9,7,4,14,17,4,4
10,7,5,3,2,4,3
11,7,4,14,17,2,4
12,8,2,6,14,1,4
13,8,2,6,14,1,4
14,8,2,6,14,2,5
15,7,4,6,14,4,4
16,7,5,1,1,1,5
17,8,4,6,14,2,5
18,7,3,3,2,1,5
19,8,5,14,17,4,5
20,8,3,3,2,4,3
21,8,4,15,11,2,4
22,8,3,3,2,4,5
23,8,4,15,11,2,5
24,8,5,14,17,4,3
25,7,3,3,2,4,5
26,8,3,3,2,1,4
27,8,4,15,11,4,5
28,7,4,1,1,2,4
29,8,5,6,16,4,4
30,8,4,6,14,4,5
31,8,5,14,18,4,4
32,8,2,3,2,4,3
33,8,4,15,11,2,5
34,8,4,15,11,2,5
35,7,5,15,11,1,3
36,8,2,3,2,2,4
37,8,2,1,1,4,4
38,7,2,15,11,2,4
39,7,4,15,11,2,4
40,7,4,15,11,3,3
41,7,2,3,2,4,5
42,7,4,3,2,4,5
43,7,5,1,1,1,4
44,7,3,3,2,4,4
45,7,5,4,8,4,5
46,7,2,3,2,1,3
47,7,5,5,7,4,5
48,7,3,3,2,1,4
49,7,3,3,2,4,3
50,7,5,14,17,4,4
51,7,2,3,2,1,5
52,7,2,8,4,2,4
53,7,3,1,1,4,2
54,10,2,3,2,1,4
55,7,5,14,17,4,5
56,7,2,15,11,2,4
57,7,2,6,14,1,3
58,7,5,3,2,4,4
59,7,2,15,11,2,5
60,7,4,1,1,2,4
61,8,3,6,14,4,4
62,7,4,8,4,3,4
63,7,5,8,4,4,4
64,7,4,8,4,3,4
65,7,5,14,17,4,5
66,8,3,14,17,4,5
67,7,2,8,4,2,4
68,7,4,15,11,2,5
69,7,5,8,4,4,2
70,7,2,14,17,2,5
71,9,2,14,17,4,4
72,11,2,15,11,2,5
73,8,2,3,2,2,5
74,7,2,3,2,4,4
75,8,2,3,2,1,3
76,7,5,1,1,1,5
77,7,2,3,2,1,5
78,7,2,14,17,2,3
79,7,3,1,1,4,4
80,7,2,3,2,1,3
81,7,5,8,4,4,5
82,8,5,8,4,4,4
83,7,5,8,4,4,4
84,7,5,3,2,4,4
85,7,4,15,11,2,5
86,7,3,3,2,4,4
87,7,2,15,11,3,4
88,7,2,15,11,2,4
89,7,5,8,4,4,1
90,9,5,4,8,4,3
91,8,5,15,12,4,4
92,8,2,3,2,3,4
93,8,5,3,2,4,3
94,7,2,3,2,1,5
95,7,4,15,11,4,4
96,8,2,8,4,3,4
97,8,5,3,2,4,4
98,7,3,6,14,4,4
99,7,3,6,14,4,4
100,7,5,6,6,4,3
101,7,3,3,2,4,4
102,8,4,15,11,2,4
103,8,2,15,11,2,4
104,8,3,14,17,4,3
105,9,2,6,14,4,4
106,8,2,3,2,2,3
107,7,3,3,2,4,4
108,7,3,8,4,4,4
109,7,4,15,11,4,5
110,7,5,14,17,4,4
111,7,5,14,17,4,3
112,7,3,3,2,4,3
113,7,3,3,2,4,4
114,7,4,15,11,4,4
115,7,2,14,17,4,4
116,7,4,15,11,4,4
117,7,3,3,2,4,4
118,7,5,14,17,4,5
119,7,2,15,11,2,4
120,7,3,14,17,1,5
121,7,5,8,4,4,4
122,8,4,8,4,3,4
123,9,4,1,1,3,1
124,7,5,6,14,1,3
125,7,5,15,13,4,5
126,7,5,15,9,4,4
127,8,2,3,2,1,5
128,7,5,1,1,4,4
129,7,3,3,2,4,3
130,7,2,15,11,2,5
131,7,2,3,2,4,4
132,7,5,8,4,4,4
133,7,5,6,14,1,4
134,6,5,8,4,4,3
135,7,2,8,4,3,5
136,7,4,15,11,4,5
137,7,3,6,16,4,4
138,7,5,14,17,1,4
139,7,5,14,17,4,4
140,8,2,8,4,1,4
141,7,2,6,14,4,4
142,7,5,6,5,4,4
143,7,5,14,17,4,4
144,7,5,14,17,4,4
145,7,4,8,4,1,5
146,7,5,14,17,4,4
147,7,5,14,17,4,5
148,7,4,8,4,4,3
149,7,5,14,18,4,4
150,6,2,3,2,1,5
151,7,5,5,7,4,3
152,6,5,14,17,4,4
153,7,5,14,17,4,3
154,7,5,15,12,4,5
155,7,2,3,2,1,4
156,7,5,4,8,4,5
157,6,2,14,17,2,3
158,7,5,14,17,4,5
159,7,5,6,5,4,5
160,7,5,14,17,4,5
161,7,4,15,11,4,4
162,8,5,14,17,4,5
163,7,2,15,11,2,4
164,7,5,14,17,4,5
165,7,5,7,3,4,4
166,7,4,6,14,4,5
167,8,5,14,17,4,3
168,7,3,3,2,4,4
169,7,5,5,7,4,4
170,7,2,14,17,2,5
171,7,5,8,4,4,4
172,7,2,8,4,2,5
173,7,3,3,2,4,4
174,7,2,3,2,1,3
175,6,5,14,17,4,4
176,7,5,14,17,4,4
177,7,3,14,17,4,4
178,7,3,14,17,4,4
179,6,5,6,14,1,5
180,7,5,15,9,4,4
181,6,5,14,17,4,5
182,7,5,14,17,4,3
183,7,5,14,17,4,4
184,7,5,14,17,4,5
185,7,5,14,17,4,4
186,7,3,3,2,1,4
187,7,2,1,1,4,4
188,7,3,3,2,1,5
189,7,5,8,4,4,4
190,7,5,14,17,4,3
191,7,5,14,17,4,5
192,8,5,14,17,4,4
193,6,5,8,4,4,1
194,7,5,3,2,4,3
195,6,2,3,2,1,4
196,7,5,7,3,4,4
197,7,2,3,2,2,4
198,7,5,14,17,4,3
199,7,2,8,4,1,4
200,7,4,6,14,4,3
201,7,2,3,2,1,3
202,7,5,6,14,4,4
203,7,4,15,11,4,5
204,8,5,5,7,4,5
205,7,5,14,17,4,4
206,6,3,3,2,4,4
207,7,5,14,17,4,5
208,7,5,14,17,4,3
209,7,5,3,2,4,4
210,7,5,8,4,4,3
211,7,2,15,11,2,2
212,7,3,6,14,4,5
213,7,5,3,2,4,4
214,7,2,6,14,2,5
215,7,5,14,17,4,4
216,7,5,14,17,1,4
217,7,5,3,2,4,4
218,7,4,3,2,1,4
219,7,5,14,17,4,3
220,6,2,3,2,1,3
221,7,4,8,4,3,4
222,7,2,15,11,2,3
223,7,5,14,17,4,4
224,7,5,14,17,4,2
225,7,2,15,11,2,4
226,7,2,3,2,1,5
227,7,5,3,2,4,4
228,7,5,14,17,4,5
229,7,5,14,17,4,5
230,7,2,15,11,4,4
231,7,5,14,17,4,4
232,7,5,15,11,4,4
233,7,5,14,17,4,4
234,7,5,15,9,4,4
235,7,5,14,17,4,3
236,8,5,14,17,4,5
237,7,5,14,17,4,4
238,7,5,14,17,4,3
239,7,4,5,7,3,4
240,7,2,14,17,4,4
241,7,5,3,2,4,4
242,7,3,14,17,1,4
243,7,5,14,18,4,5
244,7,5,15,11,4,4
245,7,5,3,2,1,3
246,7,5,15,12,4,4
247,7,4,15,11,4,5
248,7,2,14,17,2,5
249,7,4,8,4,3,4
250,8,3,14,18,4,5
251,7,5,4,8,4,4
252,7,5,6,14,4,5
253,7,5,14,17,4,3
254,7,5,6,6,4,3
255,7,5,14,17,4,5
256,7,5,14,18,4,2
257,8,4,6,14,4,4
258,7,4,14,17,1,4
259,8,4,8,4,3,5
260,7,4,7,3,3,4
261,8,4,8,4,3,4
262,7,5,14,17,4,4
263,8,5,15,11,4,4
264,7,5,6,6,4,5
265,6,4,6,14,4,4
266,7,4,8,4,1,2
267,7,5,14,17,4,4
268,7,5,3,2,1,4
269,7,4,14,17,4,5
270,7,5,14,17,4,5
271,7,5,14,17,1,5
272,7,5,3,2,4,3
273,7,5,14,17,4,5
274,7,2,14,17,1,5
275,7,2,15,11,4,3
276,6,4,8,4,3,4
277,7,4,8,4,3,3
278,7,5,4,8,4,2
279,7,3,3,2,1,4
280,7,5,6,14,4,4
281,7,5,8,4,4,3
282,7,5,14,17,1,4
283,8,5,15,11,4,5
284,7,5,5,10,4,5
285,7,4,6,14,4,4
286,7,5,8,4,4,3
287,8,2,15,11,2,4
288,7,5,14,17,4,3
289,7,5,8,4,4,4
290,7,5,14,17,1,4
291,6,5,6,14,4,3
292,7,4,6,5,3,4
293,7,5,14,17,4,4
294,7,4,3,2,3,4
295,7,3,14,17,1,5
296,7,5,14,17,4,5
297,7,2,8,4,1,1
298,7,2,15,11,2,3
299,7,5,14,17,4,4
300,7,5,14,17,1,4
301,7,5,14,17,4,4
302,7,4,8,4,4,3
303,7,2,3,2,1,5
304,7,4,14,17,2,3
305,7,2,15,11,4,5
306,7,5,15,11,4,3
307,7,2,3,2,1,5
308,7,5,14,17,4,4
309,7,5,6,6,4,2
310,6,5,8,4,4,4
311,7,5,14,17,1,4
312,7,5,14,17,4,4
313,7,5,14,17,1,5
314,7,5,15,11,4,3
315,7,4,8,4,4,2
316,7,2,3,2,2,3
317,6,5,14,18,4,1
318,7,2,15,11,2,4
319,6,5,15,9,4,4
320,7,5,14,17,4,4
321,7,5,4,8,4,5
322,7,5,14,17,4,5
323,7,5,15,9,4,5
324,7,5,14,17,4,4
325,6,4,8,4,4,4
326,7,5,8,4,4,2
327,7,2,14,17,2,4
328,7,5,15,11,4,4
329,6,2,8,4,3,4
330,7,5,4,8,4,4
331,7,4,8,4,4,3
332,7,5,14,17,4,4
333,7,5,14,17,1,4
334,7,2,8,4,1,2
335,7,5,6,14,4,3
336,7,4,14,17,4,4
337,9,5,8,4,1,4
338,8,5,8,4,4,4
339,9,5,15,12,4,4
340,8,4,15,11,3,3
341,7,4,8,4,1,2
342,7,2,8,4,3,5
343,7,2,15,11,2,3
344,7,5,8,4,1,4
345,7,5,14,17,4,2
346,7,5,8,4,4,5
347,7,4,15,13,4,4
348,7,4,8,4,3,3
349,7,2,15,11,3,3
350,7,2,15,11,3,3
351,6,4,8,4,3,4
352,6,3,6,16,4,5
353,7,5,8,4,4,4
354,7,5,14,17,1,5
355,7,2,15,11,4,4
356,7,2,3,2,3,3
357,6,5,14,17,4,5
358,6,2,15,11,2,2
359,7,3,3,2,4,5
360,7,5,14,17,1,4
361,7,4,8,4,3,3
362,7,5,14,17,1,4
363,7,4,15,9,4,4
364,7,5,14,17,1,4
365,7,5,4,8,4,5
366,7,2,3,2,1,4
367,7,5,8,4,1,4
368,7,4,5,7,4,4
369,7,2,3,2,1,3
370,7,5,6,14,1,5
371,7,4,3,2,3,4
372,7,5,14,17,4,3
373,7,5,14,17,4,4
374,8,4,8,4,3,4
375,7,2,3,2,1,4
376,6,4,8,4,3,5
377,7,5,15,13,4,3
378,7,5,14,17,4,4
379,7,5,14,17,1,4
380,7,5,1,1,1,4
381,7,2,3,2,1,5
382,7,5,15,12,4,5
383,7,2,8,4,3,4
384,7,2,14,17,2,4
385,7,5,8,4,4,4
386,7,5,14,17,1,5
387,7,4,6,14,4,5
388,7,5,14,17,4,3
389,6,5,8,4,1,4
390,7,5,14,18,4,4
391,7,4,8,4,3,4
392,7,5,14,17,4,4
393,7,4,8,4,1,4
394,7,4,15,11,4,4
395,7,2,1,1,2,4
396,7,5,15,9,4,2
397,7,5,10,9,4,4
398,7,5,14,17,1,4
399,7,5,14,17,4,4
400,7,2,3,2,3,3
401,7,5,14,17,4,5
402,7,5,14,17,4,2
403,7,4,8,4,3,5
404,7,4,8,4,3,5
405,6,2,6,14,3,4
406,7,2,3,2,1,5
407,7,2,3,2,1,4
408,7,5,14,17,1,5
409,7,5,5,7,4,2
410,7,5,15,11,1,2
411,6,4,6,14,4,4
412,7,4,6,14,4,4
413,7,5,15,13,4,4
414,7,5,5,7,4,4
415,7,2,8,4,3,4
416,7,5,14,18,4,4
417,7,3,3,2,1,4
418,8,4,3,2,3,4
419,7,4,6,14,1,3
420,7,4,6,14,4,5
421,6,5,14,18,1,4
422,7,4,8,4,3,4
423,7,5,14,17,1,5
424,7,5,15,12,4,5
425,7,5,14,18,4,5
426,7,5,15,9,4,1
427,7,5,15,9,4,4
428,6,4,8,4,3,5
429,7,2,8,4,3,4
430,7,4,8,4,3,5
431,7,5,15,11,1,5
432,7,4,8,4,3,4
433,8,2,8,4,3,4
434,7,4,6,14,1,4
435,7,5,8,4,4,4
436,7,2,8,4,3,5
437,6,5,14,17,4,4
438,6,4,8,4,3,4
439,7,2,8,4,3,4
440,6,2,8,4,3,4
441,6,4,14,17,3,5
442,7,2,3,2,1,4
443,6,5,1,1,4,3
444,7,5,14,17,1,4
445,7,4,8,4,3,4
446,6,4,8,4,1,5
447,7,5,14,17,4,2
448,7,5,14,17,4,5
449,7,5,6,6,4,2
450,7,5,8,4,4,4
451,6,3,3,2,1,4
452,7,4,8,4,3,5
453,7,4,14,17,1,4
454,7,2,8,4,3,4
455,6,4,14,17,3,4
456,7,5,7,3,4,4
457,7,4,8,4,3,4
458,7,5,14,17,4,3
459,7,4,8,4,3,5
460,7,2,8,4,3,4
461,7,2,8,4,3,4
462,6,5,14,17,4,4
463,7,5,8,4,4,2
464,6,4,3,2,3,4
465,7,2,8,4,3,4
466,7,2,8,4,3,2
