row,encryption_time_ms,qos_type,qod_model,qod_os_version,qos_operator,mos
1,25,0,0,0,0,0
2,25,4,3,2,2,3
3,27,5,14,17,4,5
4,27,2,15,11,2,4
5,35,2,8,4,2,5
6,27,4,15,11,4,5
7,28,3,14,17,4,4
8,29,5,6,14,4,5
9,30,4,14,17,4,4
10,28,5,3,2,4,3
11,30,4,14,17,2,4
12,29,2,6,14,1,4
13,32,2,6,14,1,4
14,31,2,6,14,2,5
15,33,4,6,14,4,4
16,30,5,1,1,1,5
17,30,4,6,14,2,5
18,32,3,3,2,1,5
19,29,5,14,17,4,5
20,22,3,3,2,4,3
21,29,4,15,11,2,4
22,32,3,3,2,4,5
23,33,4,15,11,2,5
24,27,5,14,17,4,3
25,27,3,3,2,4,5
26,35,3,3,2,1,4
27,25,4,15,11,4,5
28,31,4,1,1,2,4
29,31,5,6,16,4,4
30,29,4,6,14,4,5
31,31,5,14,18,4,4
32,31,2,3,2,4,3
33,29,4,15,11,2,5
34,30,4,15,11,2,5
35,30,5,15,11,1,3
36,30,2,3,2,2,4
37,28,2,1,1,4,4
38,30,2,15,11,2,4
39,30,4,15,11,2,4
40,33,4,15,11,3,3
41,32,2,3,2,4,5
42,33,4,3,2,4,5
43,27,5,1,1,1,4
44,33,3,3,2,4,4
45,29,5,4,8,4,5
46,30,2,3,2,1,3
47,29,5,5,7,4,5
48,30,3,3,2,1,4
49,31,3,3,2,4,3
50,28,5,14,17,4,4
51,30,2,3,2,1,5
52,30,2,8,4,2,4
53,29,3,1,1,4,2
54,30,2,3,2,1,4
55,29,5,14,17,4,5
56,28,2,15,11,2,4
57,27,2,6,14,1,3
58,29,5,3,2,4,4
59,27,2,15,11,2,5
60,27,4,1,1,2,4
61,28,3,6,14,4,4
62,27,4,8,4,3,4
63,28,5,8,4,4,4
64,28,4,8,4,3,4
65,31,5,14,17,4,5
66,28,3,14,17,4,5
67,27,2,8,4,2,4
68,26,4,15,11,2,5
69,27,5,8,4,4,2
70,28,2,14,17,2,5
