Provider,Row Number,Transaction Size (KB),Client CPU Time (ms),Client Memory Usage (MB),Transaction Confirmation Time (s),Transaction Hash,Estimated Gas,Actual Gas Used,Transaction Cost (ETH)
https://sepolia.drpc.org,1,0.16,0.14,0.01,10.77,0xb118b901361c991c92b3a613502ee412d94fd0c9002dff6fe4f5d24d4bb74805,554734,549753,0.001100056857453777
https://sepolia.drpc.org,2,0.16,0.08,0.00,12.95,0x687b0eff59f39af5c7a5df896d5921925650728493455258871af7240868e394,464848,463142,0.000926748053463456
https://sepolia.drpc.org,3,0.16,0.06,0.00,10.71,0x1677c9764bb082ae8d7fa8820b243e9a04a5bfa33ff1c6df07eb6ea76ac1f03e,468880,464342,0.000929149262790186
https://sepolia.drpc.org,4,0.16,0.07,0.00,11.94,0x57995e6fe93500ef7e123aa702f49dcfeeadb05b1cdae0c507d8a09425447703,468880,464342,0.000929149274398736
https://sepolia.drpc.org,5,0.16,2.69,0.01,11.80,0x0dd8e753fb08086dd938ac20632f778b6f1ac4ca25826edb8563f166426251c0,468880,464342,0.000929149248859926
https://sepolia.drpc.org,6,0.16,0.07,0.00,10.84,0xe968b1a575f744ca922f7c7838c2d8219629fa92c730a5764351d5ca8f358de6,464650,464342,0.000929149262790186
https://sepolia.drpc.org,7,0.16,0.06,0.00,11.85,0x3e5be18a67022ebaefd261e91298c20ab47241505f9bc43bbe2e2c9f6401f153,464650,464342,0.000929149260468476
https://sepolia.drpc.org,8,0.16,0.06,0.00,10.81,0x60c7155ef01a8e4c664027aeb5fe9aa07278160a19e49fe30d35de37cb4f174f,464650,464342,0.00092914920799783
https://sepolia.drpc.org,9,0.16,0.04,0.00,12.95,0x5be446ebb1ffebbc90449a064bc8b1a8d5dee190404bbb33ef066943f92fae7f,468880,464342,0.000929149186173756
https://sepolia.drpc.org,10,0.16,0.04,0.00,10.82,0x1602020ff6fc36ed651700c2e52988293fb67c08c7f8ebf9cea4d7eb5bb4562a,464650,464342,0.000929149134167452
https://sepolia.drpc.org,11,0.16,0.06,0.00,11.69,0xad57ddbc75c3189c6bbeebe78ce020d74c501939ec1b17378b41ebb46eac8efa,468880,464342,0.000929149123023244
https://sepolia.drpc.org,12,0.16,0.04,0.00,11.85,0x866a681003fc47ab7763217b008b8beb9928d12f4634c722831dac9d56d864a0,464650,464342,0.000929149091447988
https://sepolia.drpc.org,13,0.16,0.04,0.00,10.85,0x9c2d44cb0ebab0948c175cc5779abd1300568ec1aad2be8244ff6cbd6f3f243e,464650,464342,0.000929149081696806
https://sepolia.drpc.org,14,0.16,0.04,0.00,11.79,0xd9f668de75aff471cb4229737cf25764749da91d3a9db9b856ad1a39acf395f1,468880,464342,0.0009291490617301
https://sepolia.drpc.org,15,0.16,0.04,0.00,12.75,0x47f8fa78980be41b8c1286f46aac0d3e1e9bbcc9075d9ac81cb9e8e6c2b030fe,464650,464342,0.000929149074267334
https://sepolia.drpc.org,16,0.16,0.05,0.00,9.86,0xe2f1b04be1cfbd347cd4f1ef73e794e3a7d4b73bca5662c884135f6bc43f27c3,468880,464342,0.000929149088661936
https://sepolia.drpc.org,17,0.16,0.05,0.00,11.88,0xee8a2154d5aeb28eaadb6c546f922dc891666c9be70de345e40a72700ac61ca4,464650,464342,0.0009291490849472
https://sepolia.drpc.org,18,0.16,0.06,0.00,11.78,0x0f2fe9f6c930fbbc03b923d447c3d51fc048aead01d914b0b898537e26030ba7,464650,464342,0.000929149028761818
https://sepolia.drpc.org,19,0.16,0.06,0.00,12.85,0x1da7b1ad61e1f08a51bc0c131461520bffea3483853f6dff1ff1e3dc61435e2e,464650,464342,0.000929148979541566
https://sepolia.drpc.org,20,0.16,0.04,0.00,9.81,0xf824b08c0d82e27b4e3aa7fcae0f6eb7d49b4296bb86e0b6569c2b202a76b0b4,464650,464342,0.000929148935429076
https://sepolia.drpc.org,21,0.16,0.04,0.00,11.81,0x75caf072d71d2be2a3fcde71ef0a775248fecd5e8941f926335d3150a1d6bb79,464650,464342,0.000929148916391054
https://sepolia.drpc.org,22,ERROR,0.07,0.00,ERROR,"ERROR - invalid json response body at https://sepolia.drpc.org/ reason: Unexpected token '<', ""<!DOCTYPE ""..",ERROR,ERROR,
https://sepolia.drpc.org,23,ERROR,0.04,0.00,ERROR,ERROR - Returned error: replacement transaction underpriced,ERROR,ERROR,
https://sepolia.drpc.org,24,ERROR,0.68,0.00,ERROR,ERROR - Returned error: INTERNAL_ERROR: could not replace existing tx,ERROR,ERROR,
https://sepolia.drpc.org,25,ERROR,0.06,0.00,ERROR,ERROR - Returned error: INTERNAL_ERROR: could not replace existing tx,ERROR,ERROR,
https://sepolia.drpc.org,26,ERROR,0.07,0.00,ERROR,ERROR - Returned error: INTERNAL_ERROR: could not replace existing tx,ERROR,ERROR,
https://sepolia.drpc.org,27,ERROR,0.06,0.00,ERROR,ERROR - Returned error: INTERNAL_ERROR: could not replace existing tx,ERROR,ERROR,
https://sepolia.drpc.org,28,ERROR,0.06,0.00,ERROR,ERROR - Returned error: replacement transaction underpriced,ERROR,ERROR,
https://sepolia.drpc.org,29,ERROR,0.07,0.00,ERROR,ERROR - Returned error: INTERNAL_ERROR: could not replace existing tx,ERROR,ERROR,
https://sepolia.drpc.org,30,ERROR,1.23,0.01,ERROR,ERROR - Returned error: replacement transaction underpriced,ERROR,ERROR,
https://sepolia.drpc.org,31,ERROR,0.06,0.00,ERROR,ERROR - Returned error: replacement transaction underpriced,ERROR,ERROR,
https://sepolia.drpc.org,32,0.16,0.07,0.00,11.77,0xc57340cae595c96c5f296642ed25dc0a3635df1450bce8c2daa6c98bac7e702f,468880,464342,0.000929148893638296
https://sepolia.drpc.org,33,0.16,0.05,0.00,11.88,0xa0864baadf3c0abd793b2135924a8d1421189c68102b86f39e42433bbaf2fc4a,468880,464342,0.000929148852311858
