Provider,Row Number,Transaction Size (KB),Client CPU Time (ms),Client Memory Usage (MB),Transaction Confirmation Time (s),Transaction Hash,Estimated Gas,Actual Gas Used,Transaction Cost (ETH)
https://sepolia.drpc.org,1,0.16,0.12,0.01,10.78,0x4ba2d01589326a1449e323d5e2201ee9cd7714ed337742ef0e00da6c9740dd72,322594,319208,0.000647783975613272
https://sepolia.drpc.org,2,0.16,0.12,0.00,11.79,0x1e2a83d8efa90866606779607f57b261d1f1c0f5345771b5a5ab38ea35fb77d7,350216,349908,0.000711323511873
https://sepolia.drpc.org,3,0.16,0.07,0.00,10.78,0x196bf6bc880efb5116a154de4b13c52cb6eeec146053ff20fd0733fb52bed815,357570,353908,0.000719172361639956
https://sepolia.drpc.org,4,0.16,0.08,0.00,11.71,0xb514460e0f82dc2a3bd4ddc8ec3d0b608d49db46a1ffdd50ac59925f936f55a1,354216,353908,0.00072052798783074
https://sepolia.drpc.org,5,0.16,0.08,0.00,11.76,0x29e312bc2ac94699bc7a845b25c53c16a04ee89667bfc644dc728c079080d3aa,354216,353908,0.00071955562206166
https://sepolia.drpc.org,6,0.16,0.16,0.00,11.80,0xf0565fa26f0b3e360c4f63546e77da41380443325c7f6200c793bbb19ce989dc,357570,353908,0.000719620682031024
https://sepolia.drpc.org,7,0.16,0.08,0.00,10.79,0x789a7a0d75d949e26814ccc629e7fb796bab3bf2544ac24e04b40e02de922e0a,357570,353908,0.00071903878012708
https://sepolia.drpc.org,8,0.16,0.04,0.00,12.77,0x63c40141f09158ddc81db994481f68b0457beb3e538d43795076e994a8c26a18,357570,353908,0.000718358062508732
https://sepolia.drpc.org,9,0.16,0.05,0.00,10.73,0x14c3c3ba5af3f40ef2b8508505dd74c8cdd1883b93a2cdc68f11df49512a742b,357570,353908,0.000719630729479144
https://sepolia.drpc.org,10,0.16,0.04,0.00,12.92,0xda113221981b92e0ca401ff8f9c41100aa462480625d51bdc9d03ea2511aa860,357570,353908,0.000719765410938084
