QoS_type,QoS_type_EncryptionTime(ms),QoS_type_EncryptedSize(KB),QoD_model,QoD_model_EncryptionTime(ms),QoD_model_EncryptedSize(KB),QoD_os-version,QoD_os-version_EncryptionTime(ms),QoD_os-version_EncryptedSize(KB),QoS_operator,QoS_operator_EncryptionTime(ms),QoS_operator_EncryptedSize(KB),MOS,MOS_EncryptionTime(ms),MOS_EncryptedSize(KB)
4,2.604,91.219,3,4.176,91.171,2,3.327,91.208,2,3.159,91.122,3,4.83,91.212
5,3.134,91.198,14,4.56,91.196,17,3.043,91.198,4,3.681,91.145,5,3.865,91.202
2,3.003,91.205,15,3.969,91.105,11,2.99,91.232,2,2.508,91.166,4,2.386,91.226
2,5.197,91.221,8,5.888,91.176,4,2.354,91.238,2,3.227,91.17,5,2.448,91.142
4,2.604,91.053,15,2.322,91.177,11,2.383,91.192,4,2.464,91.131,5,2.854,91.188
3,3.436,91.233,14,2.774,91.135,17,2.485,91.181,4,2.402,91.178,4,2.356,91.201
5,3.911,91.207,6,6.047,91.247,14,2.456,91.159,4,2.341,91.231,5,3.913,91.181
4,2.394,91.223,14,2.431,91.222,17,2.696,91.213,4,2.441,91.252,4,2.338,91.163
5,2.389,91.265,3,2.833,91.197,2,2.712,91.208,4,2.495,91.137,3,2.335,91.159
4,2.722,91.15,14,2.313,91.216,17,2.27,91.213,2,4.322,91.118,4,2.641,91.146
2,2.885,91.203,6,2.368,91.21,14,2.923,91.203,1,2.335,91.181,4,2.509,91.258
2,2.519,91.191,6,2.81,91.216,14,2.434,91.25,1,4.372,91.188,4,2.588,91.184
2,5.014,91.117,6,3.925,91.179,14,2.282,91.245,2,2.41,91.081,5,3.783,91.185
4,3.791,91.236,6,4.041,91.195,14,2.284,91.24,4,2.607,91.184,4,2.418,91.342
5,2.328,91.181,1,2.607,91.188,1,5.057,91.225,1,4.033,91.166,5,3.803,91.113
4,2.43,91.139,6,2.354,91.208,14,3.827,91.215,2,3.281,91.161,5,6.185,91.119
3,3.075,91.139,3,4.117,91.098,2,3.554,91.184,1,4.055,91.168,5,4.075,91.234
5,4.145,91.182,14,2.896,91.169,17,2.568,91.24,4,2.595,91.075,5,3.07,91.175
3,2.72,91.23,3,3.413,91.205,2,2.494,91.209,4,2.784,91.199,3,3.098,91.153
4,2.265,91.115,15,2.474,91.124,11,2.497,91.191,2,4.034,91.119,4,3.001,91.2
3,2.763,91.212,3,2.632,91.08,2,2.405,91.181,4,2.749,91.212,5,3.146,91.214
4,2.583,91.207,15,2.303,91.258,11,2.798,91.125,2,2.325,91.186,5,3.611,91.201
5,2.411,91.18,14,3.686,91.255,17,2.494,91.232,4,3.392,91.228,3,3.259,91.169
3,2.561,91.173,3,2.386,91.227,2,2.438,91.194,4,2.334,91.168,5,4.001,91.238
3,3.713,91.182,3,2.647,91.152,2,2.926,91.115,1,3.086,91.252,4,2.603,91.082
4,2.397,91.101,15,2.569,91.137,11,2.376,91.12,4,2.674,91.204,5,2.669,91.192
4,2.712,91.119,1,2.453,91.093,1,3.687,91.233,2,2.85,91.163,4,2.506,91.139
5,3.128,91.232,6,2.995,91.154,16,3.023,91.245,4,2.88,91.173,4,2.433,91.14
4,2.573,91.222,6,4.454,91.144,14,3.892,91.179,4,4.029,91.239,5,2.558,91.178
5,2.383,91.137,14,2.307,91.188,18,2.469,91.165,4,4.482,91.14,4,2.398,91.205
2,2.686,91.111,3,2.283,91.235,2,2.337,91.188,4,2.502,91.143,3,2.391,91.186
4,2.379,91.073,15,4.077,91.151,11,2.357,91.118,2,2.241,91.207,5,3.483,91.218
4,3.92,91.071,15,4.054,91.115,11,2.76,91.241,2,2.342,91.161,5,2.463,91.228
5,2.37,91.145,15,2.285,91.069,11,2.334,91.093,1,3.728,91.189,3,2.65,91.185
2,2.694,91.14,3,2.578,91.25,2,3.705,91.167,2,3.894,91.152,4,2.593,91.135
2,3.805,91.194,1,3.325,91.112,1,2.358,91.17,4,2.672,91.253,4,2.326,91.159
2,2.425,91.166,15,2.512,91.229,11,3.965,91.09,2,3.957,91.142,4,4.159,91.142
