requests,timestamp,encryptionTime_s,cpuUserDelta_s,cpuSystemDelta_s,rss_MB,heapTotal_MB,heapUsed_MB,external_MB
10,2025-02-25T17:07:17.648Z,0.099,0.106708,0.016403,101.9765625,60.55859375,28.373489379882812,8.0123872756958
10,2025-02-25T17:07:17.654Z,0.097,0.107383,0.016408,104.109375,60.9765625,29.40557098388672,8.52796459197998
10,2025-02-25T17:07:17.660Z,0.103,0.113636,0.016408,105.30859375,61.39453125,30.243606567382812,8.980758666992188
10,2025-02-25T17:07:17.666Z,0.108,0.119742,0.016408,106.08203125,61.8125,31.108192443847656,9.496001243591309
10,2025-02-25T17:07:17.671Z,0.112,0.124234,0.016408,107.11328125,62.23046875,31.898590087890625,10.011565208435059
10,2025-02-25T17:07:17.677Z,0.118,0.130066,0.016408,108.05859375,62.8984375,32.765174865722656,10.46458625793457
10,2025-02-25T17:07:17.716Z,0.152,0.15913,0.027769,115.86328125,61.65234375,33.013702392578125,8.548712730407715
10,2025-02-25T17:07:17.721Z,0.156,0.162419,0.028407,116.37890625,62.0703125,33.78355407714844,9.064261436462402
10,2025-02-25T17:07:17.726Z,0.16,0.161831,0.033316,116.89453125,62.48828125,34.6434326171875,9.517192840576172
10,2025-02-25T17:07:17.732Z,0.166,0.163541,0.039097,117.66796875,62.90625,35.47186279296875,10.032743453979492
50,2025-02-25T17:07:18.160Z,0.411,0.34804,0.05515,309.93359375,230.4921875,201.78838348388672,12.755495071411133
50,2025-02-25T17:07:18.165Z,0.416,0.353285,0.055154,310.44921875,230.91015625,202.75247192382812,13.270892143249512
50,2025-02-25T17:07:18.169Z,0.42,0.35749,0.055187,310.96484375,231.328125,203.5940933227539,13.723846435546875
50,2025-02-25T17:07:18.174Z,0.425,0.361441,0.055864,311.48046875,231.74609375,204.38270568847656,14.239270210266113
50,2025-02-25T17:07:18.179Z,0.429,0.366582,0.055866,311.73828125,232.1640625,205.2266082763672,14.754920959472656
50,2025-02-25T17:07:18.184Z,0.434,0.371071,0.055871,312.25390625,232.58203125,206.06746673583984,15.207958221435547
50,2025-02-25T17:07:18.189Z,0.439,0.377318,0.055873,312.76953125,233,206.8600616455078,15.72347354888916
50,2025-02-25T17:07:18.197Z,0.447,0.385532,0.055873,313.28515625,233.41796875,207.7033920288086,16.23915195465088
50,2025-02-25T17:07:18.202Z,0.452,0.390928,0.055873,313.80078125,233.8359375,208.54794311523438,16.69210720062256
50,2025-02-25T17:07:18.207Z,0.457,0.395735,0.055873,314.05859375,234.25390625,209.33435821533203,17.207656860351562
50,2025-02-25T17:07:18.213Z,0.463,0.401213,0.055873,314.57421875,234.671875,210.17737579345703,17.72323513031006
50,2025-02-25T17:07:18.218Z,0.467,0.406612,0.055873,315.08984375,235.08984375,211.0202407836914,18.176377296447754
50,2025-02-25T17:07:18.223Z,0.472,0.411444,0.055873,315.60546875,235.5078125,211.8081817626953,18.692033767700195
50,2025-02-25T17:07:18.229Z,0.478,0.417068,0.055873,316.12109375,235.92578125,212.65067291259766,19.144965171813965
50,2025-02-25T17:07:18.235Z,0.484,0.422852,0.055873,316.37890625,236.34375,213.4937286376953,19.660306930541992
50,2025-02-25T17:07:18.240Z,0.489,0.42816,0.055873,316.89453125,236.76171875,214.28136444091797,20.175894737243652
50,2025-02-25T17:07:18.246Z,0.494,0.4334,0.055873,317.41015625,237.1796875,215.12420654296875,20.629064559936523
50,2025-02-25T17:07:18.251Z,0.499,0.438861,0.055873,317.92578125,237.59765625,215.97733306884766,21.144455909729004
50,2025-02-25T17:07:18.256Z,0.504,0.444173,0.055873,318.18359375,238.015625,216.7615203857422,21.659926414489746
50,2025-02-25T17:07:18.262Z,0.51,0.44977,0.055873,318.69921875,238.43359375,217.60433959960938,22.11276912689209
50,2025-02-25T17:07:18.268Z,0.516,0.45558,0.055873,319.21484375,238.8515625,218.4478530883789,22.628188133239746
50,2025-02-25T17:07:18.273Z,0.521,0.460537,0.055873,319.73046875,239.26953125,219.2354736328125,23.143613815307617
50,2025-02-25T17:07:18.279Z,0.527,0.466239,0.055873,320.24609375,239.6875,220.0777359008789,23.59643268585205
50,2025-02-25T17:07:18.284Z,0.532,0.471925,0.055873,320.50390625,240.10546875,220.9205322265625,24.111957550048828
