requests,timestamp,encryptionTime_s,cpuUserDelta_s,cpuSystemDelta_s,rss_MB,heapTotal_MB,heapUsed_MB,external_MB
10 Requests,2025-04-13T13:15:24.796Z,0.037,0.035558,0.000077,83.75,32.5390625,20.974136352539062,7.8357086181640625
10 Requests,2025-04-13T13:15:24.837Z,0.034,0.021769,0.000002,88.81640625,31.84765625,18.37250518798828,7.896635055541992
10 Requests,2025-04-13T13:15:24.879Z,0.039,0.018105,0.000079,94.67578125,33.52734375,20.699874877929688,8.023857116699219
10 Requests,2025-04-13T13:15:24.885Z,0.04,0.022979,0.00049,95.44921875,33.9453125,21.49535369873047,8.539356231689453
10 Requests,2025-04-13T13:15:24.926Z,0.038,0.009161,0.008222,95.578125,33.52734375,22.358802795410156,8.290836334228516
10 Requests,2025-04-13T13:15:24.931Z,0.042,0.016186,0.008999,96.3515625,33.9453125,23.12945556640625,8.743741035461426
10 Requests,2025-04-13T13:15:24.978Z,0.043,0.025756,0.000003,97.12890625,34.20703125,22.242347717285156,8.35239028930664
10 Requests,2025-04-13T13:15:24.983Z,0.048,0.029869,0.00032,97.64453125,34.625,23.010757446289062,8.805596351623535
10 Requests,2025-04-13T13:15:24.987Z,0.046,0.033987,0.000322,98.16015625,35.04296875,23.869598388671875,9.321113586425781
10 Requests,2025-04-13T13:15:25.031Z,0.04,0.037392,0,107.05078125,56.046875,32.718223571777344,9.21749496459961
10 Requests,2025-04-13T13:15:25.036Z,0.045,0.042326,0,108.08203125,56.46484375,33.686729431152344,9.670628547668457
10 Requests,2025-04-13T13:15:25.041Z,0.045,0.029753,0,108.85546875,56.8828125,34.53003692626953,10.123470306396484
10 Requests,2025-04-13T13:15:25.090Z,0.045,0.015328,0.00849,115.1953125,55.75,35.62525939941406,9.42324447631836
10 Requests,2025-04-13T13:15:25.095Z,0.05,0.020535,0.007865,115.96875,56.16796875,36.404693603515625,9.876239776611328
10 Requests,2025-04-13T13:15:25.100Z,0.054,0.025786,0.007034,116.7421875,56.5859375,37.245643615722656,10.329314231872559
10 Requests,2025-04-13T13:15:25.105Z,0.059,0.030971,0.006628,117.7734375,57.00390625,38.088592529296875,10.782336235046387
10 Requests,2025-04-13T13:15:25.154Z,0.045,0.021233,0.001089,126.12890625,62.91015625,43.70953369140625,10.312042236328125
10 Requests,2025-04-13T13:15:25.159Z,0.048,0.025506,0.001019,126.90234375,63.328125,44.49285888671875,10.764944076538086
10 Requests,2025-04-13T13:15:25.163Z,0.053,0.030014,0.001043,127.93359375,63.74609375,45.334495544433594,11.28064250946045
10 Requests,2025-04-13T13:15:25.170Z,0.059,0.03686,0.001012,117.83203125,52.8828125,19.82176971435547,10.097756385803223
10 Requests,2025-04-13T13:15:25.181Z,0.049,0.046943,0.001068,119.89453125,54.921875,26.34552764892578,10.901066780090332
10 Requests,2025-04-13T13:15:25.213Z,0.04,0.033786,0.000473,120.15234375,54.18359375,27.54381561279297,9.117025375366211
10 Requests,2025-04-13T13:15:25.217Z,0.044,0.038266,0.000456,120.41015625,54.6015625,28.320877075195312,9.632614135742188
10 Requests,2025-04-13T13:15:25.222Z,0.049,0.041629,0.000347,120.92578125,55.01953125,29.163894653320312,10.148131370544434
10 Requests,2025-04-13T13:15:25.227Z,0.054,0.046765,0.000337,121.44140625,55.4375,30.006393432617188,10.600955963134766
10 Requests,2025-04-13T13:15:25.241Z,0.057,0.061671,0.001146,123.53125,57.7265625,36.644981384277344,11.404217720031738
10 Requests,2025-04-13T13:15:25.274Z,0.04,0.04188,0.008187,126.85546875,62.8203125,42.937896728515625,10.423898696899414
10 Requests,2025-04-13T13:15:25.279Z,0.046,0.047107,0.008174,127.37109375,63.23828125,43.90544891357422,10.877041816711426
10 Requests,2025-04-13T13:15:25.284Z,0.051,0.046027,0.007806,127.62890625,63.65625,44.74774932861328,11.329916000366211
10 Requests,2025-04-13T13:15:25.289Z,0.055,0.050408,0.007712,128.14453125,64.07421875,45.59185028076172,11.7828950881958
10 Requests,2025-04-13T13:15:25.306Z,0.062,0.054219,0.007772,120.7265625,56.734375,31.17176055908203,9.85358715057373
10 Requests,2025-04-13T13:15:25.311Z,0.064,0.050854,0.008179,121.2421875,57.15234375,31.938865661621094,10.306611061096191
10 Requests,2025-04-13T13:15:25.340Z,0.047,0.042617,0.001178,120.56640625,54.59375,31.684844970703125,9.916543006896973
10 Requests,2025-04-13T13:15:25.345Z,0.052,0.047494,0.001161,121.08203125,55.01171875,32.454071044921875,10.369491577148438
10 Requests,2025-04-13T13:15:25.350Z,0.057,0.052251,0.001187,121.33984375,55.4296875,33.295066833496094,10.822527885437012
10 Requests,2025-04-13T13:15:25.354Z,0.06,0.056383,0.001509,121.85546875,55.84765625,34.082611083984375,11.27549934387207
10 Requests,2025-04-13T13:15:25.372Z,0.057,0.05568,0.000754,120.09375,53.984375,25.36956787109375,9.661660194396973
10 Requests,2025-04-13T13:15:25.377Z,0.062,0.060491,0.000737,120.3515625,54.40234375,26.136871337890625,10.114645957946777
10 Requests,2025-04-13T13:15:25.412Z,0.054,0.041292,0.010199,121.65625,55.5234375,32.99980926513672,10.027230262756348
10 Requests,2025-04-13T13:15:25.417Z,0.058,0.046845,0.010202,121.9140625,55.94140625,33.766944885253906,10.480093002319336
10 Requests,2025-04-13T13:15:25.423Z,0.064,0.052429,0.010362,122.4296875,56.359375,34.60966491699219,10.932930946350098
10 Requests,2025-04-13T13:15:25.428Z,0.069,0.057695,0.010364,122.9453125,56.77734375,35.39729309082031,11.385964393615723
10 Requests,2025-04-13T13:15:25.434Z,0.075,0.063103,0.010505,123.4609375,57.1953125,36.244468688964844,11.90143871307373
10 Requests,2025-04-13T13:15:25.462Z,0.081,0.069088,0.011157,124.68359375,57.734375,32.18858337402344,10.534159660339355
10 Requests,2025-04-13T13:15:25.468Z,0.087,0.076033,0.011159,124.94140625,58.15234375,32.956016540527344,11.049797058105469
10 Requests,2025-04-13T13:15:25.513Z,0.072,0.056766,0.011273,127.8046875,60.9140625,37.120323181152344,10.12637996673584
10 Requests,2025-04-13T13:15:25.519Z,0.076,0.062083,0.011276,128.3203125,61.33203125,37.8873291015625,10.641919136047363
10 Requests,2025-04-13T13:15:25.525Z,0.083,0.068268,0.011501,128.8359375,61.75,38.730018615722656,11.094965934753418
10 Requests,2025-04-13T13:15:25.530Z,0.088,0.073718,0.011503,129.09375,62.16796875,39.517845153808594,11.610424041748047
10 Requests,2025-04-13T13:15:25.536Z,0.093,0.079315,0.011493,129.609375,62.5859375,40.36048126220703,12.063408851623535
10 Requests,2025-04-13T13:15:25.541Z,0.097,0.084214,0.011447,130.125,63.00390625,41.203285217285156,12.578893661499023
10 Requests,2025-04-13T13:15:25.560Z,0.088,0.074914,0.010879,126.80859375,59.1953125,30.867919921875,10.631266593933105
10 Requests,2025-04-13T13:15:25.565Z,0.093,0.079528,0.010854,127.32421875,59.61328125,31.635108947753906,11.146590232849121
10 Requests,2025-04-13T13:15:25.609Z,0.065,0.061065,0.000036,129.07421875,61.9140625,36.962181091308594,10.900179862976074
10 Requests,2025-04-13T13:15:25.614Z,0.069,0.065522,0.000019,129.58984375,62.33203125,37.72917938232422,11.4157133102417
10 Requests,2025-04-13T13:15:25.618Z,0.073,0.070046,0.000009,130.10546875,62.75,38.572242736816406,11.931373596191406
10 Requests,2025-04-13T13:15:25.623Z,0.078,0.074869,0.000001,130.36328125,63.16796875,39.359588623046875,12.384411811828613
10 Requests,2025-04-13T13:15:25.629Z,0.084,0.074721,0.006125,130.87890625,63.5859375,40.202789306640625,12.89983081817627
10 Requests,2025-04-13T13:15:25.633Z,0.088,0.076139,0.009667,131.91015625,64.00390625,41.045433044433594,13.352777481079102
10 Requests,2025-04-13T13:15:25.638Z,0.092,0.080792,0.009669,132.68359375,64.421875,41.840362548828125,13.867925643920898
10 Requests,2025-04-13T13:15:25.656Z,0.088,0.068817,0.019086,127.453125,60.1953125,31.6600341796875,11.530928611755371
10 Requests,2025-04-13T13:15:25.661Z,0.092,0.072937,0.019533,127.96875,60.61328125,32.42730712890625,12.046415328979492
10 Requests,2025-04-13T13:15:25.709Z,0.067,0.056169,0.010486,136,68.93359375,42.00254821777344,11.879181861877441
10 Requests,2025-04-13T13:15:25.713Z,0.071,0.059645,0.010914,136.515625,69.3515625,42.769287109375,12.33236312866211
10 Requests,2025-04-13T13:15:25.718Z,0.075,0.064654,0.0109,137.03125,69.76953125,43.612579345703125,12.847926139831543
10 Requests,2025-04-13T13:15:25.724Z,0.081,0.070905,0.011036,137.546875,70.1875,44.39990997314453,13.301034927368164
10 Requests,2025-04-13T13:15:25.729Z,0.086,0.075782,0.011031,138.578125,70.60546875,45.24311065673828,13.816484451293945
10 Requests,2025-04-13T13:15:25.734Z,0.091,0.080387,0.011012,139.3515625,71.0234375,46.085968017578125,14.331914901733398
10 Requests,2025-04-13T13:15:25.739Z,0.096,0.086215,0.011002,140.3828125,71.44140625,46.87339782714844,14.785057067871094
10 Requests,2025-04-13T13:15:25.745Z,0.1,0.091254,0.011057,141.15625,71.859375,47.71623992919922,15.30056095123291
10 Requests,2025-04-13T13:15:25.765Z,0.102,0.103029,0.011341,129.63671875,57.52734375,27.24854278564453,10.907977104187012
10 Requests,2025-04-13T13:15:25.771Z,0.107,0.107807,0.011833,130.15234375,57.9453125,28.20691680908203,11.36093521118164
10 Requests,2025-04-13T13:15:25.818Z,0.07,0.068646,0.011283,132.24609375,60.07421875,28.74274444580078,10.815070152282715
10 Requests,2025-04-13T13:15:25.823Z,0.075,0.072821,0.011714,132.76171875,60.4921875,29.519554138183594,11.268004417419434
10 Requests,2025-04-13T13:15:25.828Z,0.079,0.077966,0.011715,133.01953125,60.91015625,30.362632751464844,11.721109390258789
10 Requests,2025-04-13T13:15:25.834Z,0.085,0.084449,0.011874,133.53515625,61.328125,31.205543518066406,12.174066543579102
10 Requests,2025-04-13T13:15:25.839Z,0.09,0.089214,0.011876,134.05078125,61.74609375,31.99304962158203,12.627050399780273
10 Requests,2025-04-13T13:15:25.844Z,0.095,0.094333,0.011876,134.30859375,62.1640625,32.83592224121094,13.079950332641602
10 Requests,2025-04-13T13:15:25.851Z,0.099,0.08921,0.011193,134.82421875,62.58203125,33.678871154785156,13.53297233581543
10 Requests,2025-04-13T13:15:25.857Z,0.104,0.095531,0.011161,135.33984375,63,34.46862030029297,13.985989570617676
10 Requests,2025-04-13T13:15:25.876Z,0.102,0.101909,0.000762,131.4765625,59.21484375,24.99871063232422,10.970070838928223
10 Requests,2025-04-13T13:15:25.882Z,0.108,0.107104,0.000743,131.734375,59.6328125,25.751953125,11.423028945922852
10 Requests,2025-04-13T13:15:25.936Z,0.076,0.072727,0,138.62109375,66.453125,37.71869659423828,11.231587409973145
10 Requests,2025-04-13T13:15:25.941Z,0.08,0.077153,0,139.13671875,66.87109375,38.48606872558594,11.684670448303223
10 Requests,2025-04-13T13:15:25.946Z,0.085,0.082716,0,139.39453125,67.2890625,39.32904052734375,12.137738227844238
10 Requests,2025-04-13T13:15:25.951Z,0.09,0.087509,0,139.91015625,67.70703125,40.11650085449219,12.590721130371094
10 Requests,2025-04-13T13:15:25.956Z,0.095,0.092497,0,140.42578125,68.125,40.95933532714844,13.043651580810547
10 Requests,2025-04-13T13:15:25.961Z,0.1,0.097878,0,140.68359375,68.54296875,41.806365966796875,13.496818542480469
10 Requests,2025-04-13T13:15:25.967Z,0.106,0.103982,0,141.19921875,68.9609375,42.589874267578125,13.949792861938477
10 Requests,2025-04-13T13:15:25.972Z,0.11,0.108702,0,141.71484375,69.37890625,43.43279266357422,14.402830123901367
10 Requests,2025-04-13T13:15:25.988Z,0.103,0.103671,0,137.58984375,65.328125,33.848655700683594,11.391356468200684
10 Requests,2025-04-13T13:15:25.993Z,0.108,0.108481,0,137.84765625,65.74609375,34.61589813232422,11.844314575195312
10 Requests,2025-04-13T13:15:26.044Z,0.07,0.059929,0.008045,144.85546875,72.56640625,45.449371337890625,11.655917167663574
10 Requests,2025-04-13T13:15:26.048Z,0.073,0.063907,0.008046,145.11328125,72.984375,46.227272033691406,12.10906982421875
10 Requests,2025-04-13T13:15:26.053Z,0.078,0.068439,0.008046,145.62890625,73.40234375,47.069244384765625,12.561960220336914
10 Requests,2025-04-13T13:15:26.058Z,0.082,0.073754,0.008046,146.14453125,73.8203125,47.91221618652344,13.014933586120605
10 Requests,2025-04-13T13:15:26.063Z,0.087,0.078171,0.008046,146.40234375,74.23828125,48.69988250732422,13.46796989440918
10 Requests,2025-04-13T13:15:26.067Z,0.091,0.078071,0.013043,146.91796875,74.65625,49.54279327392578,13.920879364013672
10 Requests,2025-04-13T13:15:26.074Z,0.098,0.079243,0.018218,147.43359375,75.07421875,50.385528564453125,14.373621940612793
10 Requests,2025-04-13T13:15:26.078Z,0.102,0.084107,0.01822,147.69140625,75.4921875,51.17302703857422,14.826570510864258
10 Requests,2025-04-13T13:15:26.095Z,0.099,0.080521,0.01822,143.56640625,71.27734375,41.000823974609375,11.815686225891113
10 Requests,2025-04-13T13:15:26.100Z,0.104,0.085077,0.01822,143.82421875,71.6953125,41.76801300048828,12.268630027770996
10 Requests,2025-04-13T13:15:26.150Z,0.069,0.069586,0.00073,151.06640625,79.265625,52.53852844238281,12.072434425354004
10 Requests,2025-04-13T13:15:26.155Z,0.074,0.074332,0.000732,151.32421875,79.68359375,53.30592346191406,12.525557518005371
10 Requests,2025-04-13T13:15:26.160Z,0.078,0.07904,0.000732,151.83984375,80.1015625,54.15699005126953,12.978816986083984
10 Requests,2025-04-13T13:15:26.164Z,0.082,0.083273,0.001086,152.35546875,80.51953125,54.93669891357422,13.431875228881836
10 Requests,2025-04-13T13:15:26.170Z,0.088,0.089114,0.001087,152.61328125,80.9375,55.77952575683594,13.884726524353027
10 Requests,2025-04-13T13:15:26.175Z,0.093,0.094241,0.001172,153.12890625,81.35546875,56.62244415283203,14.337676048278809
10 Requests,2025-04-13T13:15:26.179Z,0.097,0.099049,0.001174,153.64453125,81.7734375,57.409996032714844,14.79065990447998
10 Requests,2025-04-13T13:15:26.184Z,0.102,0.104062,0.001174,153.90234375,82.19140625,58.25297546386719,15.243688583374023
10 Requests,2025-04-13T13:15:26.202Z,0.099,0.10069,0.001174,149.87109375,77.9765625,48.142311096191406,12.232203483581543
10 Requests,2025-04-13T13:15:26.206Z,0.103,0.104697,0.001097,150.12890625,78.39453125,48.909507751464844,12.685150146484375
10 Requests,2025-04-13T13:15:26.256Z,0.068,0.056858,0.010104,157.3828125,85.96484375,59.68236541748047,12.488951683044434
10 Requests,2025-04-13T13:15:26.261Z,0.073,0.061003,0.010502,157.8984375,86.3828125,60.44994354248047,13.004477500915527
10 Requests,2025-04-13T13:15:26.266Z,0.078,0.066377,0.010503,158.4140625,86.80078125,61.29273223876953,13.457597732543945
10 Requests,2025-04-13T13:15:26.271Z,0.083,0.071478,0.010551,158.9296875,87.21875,62.08061981201172,13.973151206970215
10 Requests,2025-04-13T13:15:26.276Z,0.088,0.076404,0.010556,159.1875,87.63671875,62.92352294921875,14.48853874206543
10 Requests,2025-04-13T13:15:26.281Z,0.093,0.081828,0.010582,159.703125,88.0546875,63.76617431640625,14.941575050354004
10 Requests,2025-04-13T13:15:26.287Z,0.099,0.087548,0.010583,160.21875,88.47265625,64.5540771484375,15.457172393798828
10 Requests,2025-04-13T13:15:26.291Z,0.103,0.092235,0.010615,160.734375,88.890625,65.3967514038086,15.910202980041504
10 Requests,2025-04-13T13:15:26.309Z,0.1,0.089608,0.010937,156.89453125,85.58984375,55.77571105957031,13.023720741271973
10 Requests,2025-04-13T13:15:26.313Z,0.103,0.094198,0.010937,157.41015625,86.0078125,56.54222106933594,13.476569175720215
10 Requests,2025-04-13T13:15:26.361Z,0.066,0.05756,0.009875,164.4609375,93.328125,67.3650131225586,13.467968940734863
10 Requests,2025-04-13T13:15:26.366Z,0.071,0.062352,0.009873,164.9765625,93.74609375,68.13165283203125,13.920937538146973
10 Requests,2025-04-13T13:15:26.370Z,0.075,0.06691,0.009873,165.4921875,94.1640625,68.9749755859375,14.436482429504395
10 Requests,2025-04-13T13:15:26.375Z,0.08,0.071256,0.010237,166.0078125,94.58203125,69.76243591308594,14.951923370361328
10 Requests,2025-04-13T13:15:26.380Z,0.085,0.076668,0.010239,166.5234375,95,70.6050033569336,15.40488052368164
10 Requests,2025-04-13T13:15:26.385Z,0.09,0.081897,0.010239,166.78125,95.41796875,71.44811248779297,15.92029094696045
