Category,Time
10,0.076
10,0.076
10,0.081
10,0.086
10,0.091
10,0.099
10,0.129
10,0.134
10,0.138
10,0.143
50,0.411
50,0.415
50,0.421
50,0.426
50,0.431
50,0.437
50,0.442
50,0.447
50,0.453
50,0.458
50,0.464
50,0.469
50,0.474
50,0.478
50,0.485
50,0.494
50,0.499
50,0.504
50,0.509
50,0.514
50,0.519
50,0.523
50,0.529
50,0.534
50,0.538
50,0.543
50,0.548
50,0.552
50,0.557
50,0.562
50,0.568
50,0.574
50,0.579
50,0.584
50,0.588
50,0.593
50,0.598
50,0.604
50,0.609
50,0.612
50,0.617
50,0.621
50,0.626
50,0.631
50,0.636
50,0.642
50,0.646
50,0.651
50,0.655
50,0.66
100,0.695
100,0.701
100,0.706
100,0.712
100,0.716
100,0.721
100,0.727
100,0.732
100,0.736
100,0.742
100,0.746
100,0.751
100,0.757
100,0.761
100,0.767
100,0.772
100,0.777
100,0.781
100,0.786
100,0.791
100,0.796
100,0.803
100,0.806
100,0.812
100,0.817
100,0.822
100,0.827
100,0.832
100,0.837
100,0.841
100,0.847
100,0.852
100,0.857
100,0.862
100,0.866
100,0.871
100,0.877
100,0.884
100,0.889
100,0.894
100,0.9
100,0.905
100,0.91
100,0.915
100,0.921
100,0.927
100,0.932
100,0.937
100,0.942
100,0.948
100,0.953
100,0.959
100,0.964
100,0.969
100,0.974
100,0.981
100,0.986
100,0.991
100,0.997
100,1.002
100,1.008
100,1.014
100,1.019
100,1.026
100,1.03
100,1.035
100,1.041
100,1.047
100,1.052
100,1.057
100,1.063
100,1.067
100,1.072
100,1.077
100,1.083
100,1.088
100,1.094
100,1.1
100,1.105
100,1.11
100,1.114
100,1.119
100,1.124
100,1.129
100,1.134
100,1.139
100,1.238
100,1.242
100,1.248
100,1.253
100,1.257
100,1.263
100,1.268
100,1.273
100,1.279
100,1.284
100,1.289
100,1.293
100,1.299
100,1.304
200,0.694
200,0.699
200,0.704
200,0.71
200,0.715
200,0.72
200,0.724
200,0.729
200,0.733
200,0.738
200,0.743
200,0.748
200,0.753
200,0.758
200,0.763
200,0.768
200,0.773
200,0.778
200,0.782
200,0.787
200,0.792
200,0.797
200,0.802
200,0.807
200,0.812
200,0.817
200,0.821
200,0.827
200,0.832
200,0.837
200,0.842
200,0.848
200,0.852
200,0.857
200,0.863
200,0.868
200,0.874
200,0.88
200,0.885
200,0.891
200,0.896
200,0.901
200,0.906
200,0.911
200,0.916
200,0.92
200,0.926
200,0.929
200,0.934
200,0.939
200,0.944
200,0.949
200,0.954
200,0.959
200,0.964
200,0.969
200,0.974
200,0.979
200,0.984
200,0.989
200,0.994
200,0.998
200,1.003
200,1.008
200,1.014
200,1.019
200,1.025
200,1.029
200,1.035
200,1.04
200,1.045
200,1.051
200,1.058
200,1.064
200,1.073
200,1.08
200,1.086
200,1.093
200,1.099
200,1.106
200,1.112
200,1.118
200,1.123
200,1.127
200,1.132
200,1.137
200,1.142
200,1.148
200,1.152
200,2.11
200,2.114
200,2.119
200,2.123
200,2.129
200,2.134
200,2.139
200,2.144
200,2.15
200,2.156
200,2.162
200,2.167
200,2.172
200,2.177
200,2.182
200,2.186
200,2.192
200,2.198
200,2.204
200,2.21
200,2.215
200,2.221
200,2.227
200,2.233
200,2.237
200,2.242
200,2.247
200,2.252
200,2.258
200,2.263
200,2.268
200,2.274
200,2.278
200,2.284
200,2.289
200,2.295
200,2.301
200,2.306
200,2.311
200,2.316
200,2.321
200,2.326
200,2.331
200,2.337
200,2.341
200,2.347
200,2.352
200,2.359
200,2.364
200,2.37
200,2.375
200,2.38
200,2.386
200,2.391
200,2.396
200,2.401
200,2.406
200,2.412
200,2.416
200,2.419
200,2.426
200,2.431
200,2.436
200,2.442
200,2.448
200,2.453
200,2.457
200,2.463
200,2.468
200,2.473
200,2.478
200,2.483
200,2.488
200,2.493
200,2.498
200,2.503
200,2.509
200,2.514
200,2.52
200,2.525
200,2.531
200,2.535
200,2.541
200,2.546
200,2.552
200,2.557
200,2.563
200,2.568
200,2.573
200,2.578
200,2.584
200,2.589
200,2.594
200,2.601
200,2.606
200,2.612
200,2.616
200,2.621
200,2.627
200,2.632
200,2.637
200,2.643
200,2.648
200,2.653
200,2.658
200,2.664
200,2.668
200,2.675
200,2.68
200,2.685
200,2.695
