Category,Time
10,0.102
10,0.107
10,0.112
10,0.117
10,0.121
10,0.126
10,0.131
10,0.136
10,0.141
10,0.145
50,0.405
50,0.409
50,0.414
50,0.418
50,0.423
50,0.428
50,0.433
50,0.438
50,0.443
50,0.448
50,0.452
50,0.458
50,0.462
50,0.466
50,0.471
50,0.476
50,0.481
50,0.485
50,0.49
50,0.495
50,0.499
50,0.504
50,0.509
50,0.512
50,0.517
50,0.521
50,0.526
50,0.53
50,0.536
50,0.541
50,0.546
50,0.55
50,0.554
50,0.558
50,0.563
50,0.567
50,0.571
50,0.577
50,0.582
50,0.586
50,0.591
50,0.595
50,0.599
50,0.603
50,0.608
50,0.613
50,0.618
50,0.623
50,0.627
50,0.632
100,0.788
100,0.793
100,0.798
100,0.803
100,0.808
100,0.814
100,0.819
100,0.824
100,0.829
100,0.834
100,0.839
100,0.843
100,0.848
100,0.852
100,0.857
100,0.862
100,0.867
100,0.872
100,0.876
100,0.881
100,0.886
100,0.891
100,0.896
100,0.9
100,0.905
100,0.912
100,0.916
100,0.921
100,0.928
100,0.934
100,0.939
100,0.948
100,0.954
100,0.959
100,0.966
100,0.972
100,0.977
100,0.981
100,0.986
100,0.991
100,0.996
100,1.001
100,1.006
100,1.011
100,1.015
100,1.019
100,1.024
100,1.031
100,1.036
100,1.04
100,1.046
100,1.051
100,1.056
100,1.061
100,1.064
100,1.069
100,1.074
100,1.079
100,1.084
100,1.089
100,1.094
100,1.099
100,1.104
100,1.108
100,1.113
100,1.118
100,1.122
100,1.127
100,1.132
100,1.137
100,1.142
100,1.147
100,1.151
100,1.156
100,1.162
100,1.166
100,1.171
100,1.174
100,1.179
100,1.183
100,1.188
100,1.194
100,1.199
100,1.203
100,1.208
100,1.213
100,1.218
100,1.222
100,1.227
100,1.231
100,1.235
100,1.24
100,1.244
100,1.249
100,1.254
100,1.258
100,1.263
100,1.267
100,1.273
100,1.278
