Category,Time
Low,115
Low,119
Low,125
Low,131
Low,137
Low,144
Low,149
Low,154
Low,159
Low,165
Medium,443
Medium,448
Medium,454
Medium,459
Medium,465
Medium,471
Medium,476
Medium,482
Medium,488
Medium,493
Medium,496
Medium,501
Medium,506
Medium,511
Medium,517
Medium,522
Medium,527
Medium,532
Medium,536
Medium,542
Medium,546
Medium,551
Medium,556
Medium,561
Medium,566
Medium,571
Medium,576
Medium,582
Medium,587
Medium,593
Medium,597
Medium,602
Medium,607
Medium,611
Medium,615
Medium,620
Medium,625
Medium,630
Medium,634
Medium,639
Medium,644
Medium,649
Medium,654
Medium,660
Medium,665
Medium,670
Medium,676
Medium,681
Medium,686
Medium,689
High,832
High,837
High,841
High,846
High,851
High,856
High,861
High,866
High,871
High,877
High,883
High,888
High,893
High,899
High,904
High,907
High,912
High,917
High,922
High,928
High,933
High,937
High,942
High,949
High,953
High,958
High,964
High,968
High,973
High,978
High,983
High,988
High,994
High,1000
High,1005
High,1010
High,1016
High,1021
High,1026
High,1031
High,1036
High,1042
High,1047
High,1053
High,1058
High,1061
High,1068
High,1073
High,1078
High,1083
High,1088
High,1093
High,1098
High,1104
High,1108
High,1114
High,1121
High,1126
High,1131
High,1137
High,1141
High,1148
High,1152
High,1157
High,1161
High,1168
High,1173
High,1178
High,1184
High,1189
High,1195
High,1200
High,1205
High,1210
High,1216
High,1221
High,1227
High,1232
High,1238
High,1242
High,1247
High,1252
High,1257
High,1262
High,1268
High,1274
High,1279
High,1285
High,1290
High,1294
High,1300
High,1306
High,1311
High,1317
High,1322
High,1328
High,1335
High,1340
High,1346
High,1350
