provider,Row Number,Encryption Time (ms),Encrypted Data Size (KB),Transaction Size (KB),CPU Usage (ms),Memory Usage (MB),Transaction Confirmation Time (s),Transaction Hash,Estimated Gas,Actual Gas Used
http://localhost:8545,1,37,156.19,44.22,149.94,7.08,5.12,0xb15bccdd2dca973d835ef1e5056d9ff7a4f73f113c1db7681cf8316929ce8bad,2740809,2740528
http://localhost:8545,2,23,156.18,44.22,44.59,0.88,9.13,0xf8e6626d07bf67cedd41553ecc79e1f1a62e0899afd86421d349fff88d2b7b6e,2740779,2740498
http://localhost:8545,3,22,156.09,44.22,56.25,0.63,9.16,0xea4adb2548e0e42ac819a38c88900bfcdff1e920dbe52d40241e6cdfad1ca337,2740779,2740498
http://localhost:8545,4,25,156.10,44.22,70.63,1.63,8.21,0xdb71aa49760d072f27bc7518d535639f28aab5901ce8622e4b351ca2b532e8d0,2740758,2740477
http://localhost:8545,5,19,156.03,44.22,51.56,1.43,8.15,0x08f24b7baa60382eb4c6551dcc51fe1db0099e55812b6ce3c7a0cba278c00329,2740704,2740423
http://localhost:8545,6,19,156.08,44.22,21.33,0.87,9.13,0x8dbfd27f115b53e7c22411fb7eea13fd610a26f5afeca90624702e1e17d7bc3a,2740782,2740501
http://localhost:8545,7,24,156.07,44.22,56.61,1.41,8.14,0x4255fac1da5abb72d0a3ba4c4603b52d981484b687ffc4bd1ec95d5d3c97aa27,2740707,2740426
http://localhost:8545,8,17,155.99,44.22,16.84,0.87,8.13,0x00a2389cd1d0bdf4ece715ce6de4d2f992b11cc474d6993de5e244d77efe12e7,2740713,2740432
http://localhost:8545,9,27,156.06,44.22,26.32,0.87,9.15,0x917d6c0247c0e134f3a5b4624e2d15f434cde0959d865389c5c85c97ae09c607,2740764,2740483
http://localhost:8545,10,21,156.18,44.22,47.28,1.52,8.13,0x8a6ecb9b725e030d2d7f692c162dcac31a383a53fbd8841978ac142246bc18ba,2740698,2740417
http://localhost:8545,11,18,156.45,44.22,22.88,0.87,8.13,0xd3c0886e643aa34b39e57d81001cb3a806ebc427e8b23acab6ceea95a15b464c,2740749,2740468
http://localhost:8545,12,19,156.12,44.22,19.55,0.87,8.15,0xd786eeb95531ee4146ba4818a92b9aafd64f87405a90db5b694972b5b9697726,2740746,2740465
http://localhost:8545,13,14,156.33,44.22,14.33,0.87,8.13,0x582d3a001678f0ad2999636a99f0d519dbf1dd01b2d3e504135ee8c6a3bef519,2740740,2740459
http://localhost:8545,14,22,156.11,44.22,59.97,1.52,8.19,0xaa64390011ba1c017afc92b9852c9ba88761aa946047f4f1efd9f71720ee0cd4,2740689,2740408
http://localhost:8545,15,15,156.28,44.22,14.76,0.87,8.14,0xb51da2e090ce1c892d047b67613159d203b74f0f329b4350e93a63417cba7344,2740770,2740489
http://localhost:8545,16,17,156.27,44.22,28.24,0.87,9.16,0x0d07516933cf4961de9fdf67a130a794663d2ed8e8a74490d1bb8aa98821bdb9,2740773,2740492
http://localhost:8545,17,15,156.31,44.22,14.58,0.87,8.13,0x64860c3083ef16cfcb1813865a1dbbc69d18cb3167421807a64257b12469df90,2740677,2740396
http://localhost:8545,18,30,156.05,44.22,62.26,1.51,8.14,0xe9d77d0b59b01474c384620732f01e9bddadba9585b8174a05721c4d35a888af,2740701,2740420
http://localhost:8545,19,21,156.05,44.22,21.02,0.87,8.12,0x5f81c73887baed4663cb74fcd7cb056f115c206442e928bec5ed704d29beba1f,2740791,2740510
http://localhost:8545,20,15,156.21,44.22,17.81,0.87,8.13,0xd0858aeef0b32080b32f559e39fa7ca0c336eeb208d4e35e8b716db25dd8a741,2740803,2740522
http://localhost:8545,21,21,156.27,44.22,20.34,0.87,9.14,0x61e52736b6dcb1e7b9642021c86d9698ca86b32d2b4fd02a85f59c78c9e7a822,2740758,2740477
http://localhost:8545,22,31,156.18,44.22,74.07,1.63,8.17,0x124ec453beae799d5298b6d768507b393f8a609997bc30ae1524593f10b0d834,2740737,2740456
http://localhost:8545,23,13,156.13,44.22,13.62,0.87,7.12,0x21ca8c13832e0a70a1f74997c36bfb55461dac86e68ce1738d3c64c45f5b437f,2740746,2740465
http://localhost:8545,24,18,156.10,44.22,18.18,0.87,9.13,0xf262e8bc8a29bad165826f85d964011df0baad2098b4ef4483fcae8fc8bb3947,2740770,2740489
http://localhost:8545,25,16,156.17,44.22,16.31,0.87,8.15,0x51307e01e5a397471a533c930ad6cd02d83fa670122e3ba489b6e7bf81fbf6ec,2740716,2740435
http://localhost:8545,26,24,156.16,44.22,58.77,1.54,8.13,0xb7d9cfe7c4d5a499b5faf69e0db74d1660aceef88a0edad1f1b05bc936a6acfe,2740734,2740453
http://localhost:8545,27,12,156.06,44.22,12.38,0.86,8.16,0xe149ed10dd57588d3eb2504c2f41ff1c9d4af916070b935a599a960ed1ad3a7d,2740725,2740444
http://localhost:8545,28,21,155.96,44.22,20.61,0.86,8.13,0xdd68623ccbc8bac47c316db0f339ef866978e26ba3d371234cc92e83bfa9265c,2740746,2740465
http://localhost:8545,29,16,156.14,44.22,16.06,0.86,8.13,0xdc7b7e4fa93bb3dadf7853825ec15d66dc1734ba3cbe9a58e5a7cb1c142b24cb,2740818,2740537
http://localhost:8545,30,29,156.26,44.22,58.95,1.51,9.14,0x7bc50f21a75ec0bed2d7ebc625ad435662f5481e9e537380340e268452b4df10,2740746,2740465
http://localhost:8545,31,18,156.13,44.22,18.41,0.86,7.16,0x0d0fa1291d74262b101f858ac89b9e6a0644c40b0e018ee8b2ba620e70ad03c8,2740770,2740489
http://localhost:8545,32,15,156.28,44.22,23.07,0.87,9.14,0xc780b0354842c283666dacf7448d8c807eac52ebafaefefdca51adbb46da4f5c,2740749,2740468
http://localhost:8545,33,24,156.22,44.22,24.20,0.86,8.13,0x3da96c09ad2d3c63c90c6443a1bacc80594020a0372bb031445946a9e8be2e28,2740743,2740462
http://localhost:8545,34,25,156.28,44.22,64.32,1.36,8.12,0x842cf72f2a9d786d1bf1df68ee714da01b8ec8376b4dea40b9b97779e14a5cf8,2740728,2740447
http://localhost:8545,35,27,156.26,44.22,26.92,0.87,8.14,0xe8b727c4030ac1aea7fa6fb3a7c38ec862ed9d3d7abcf13d27a6b605caab4e15,2740737,2740456
http://localhost:8545,36,16,156.14,44.22,16.43,0.87,8.14,0x3dec5ed4446510a25609e0dbb3595e524325ad387bfec9d26e9706434a3efd94,2740740,2740459
http://localhost:8545,37,16,156.29,44.22,23.29,0.87,8.13,0x6888579ef58d50114ecd404b772624bc20f47dffd3f8d2ad65db6eda905788e8,2740677,2740396
http://localhost:8545,38,23,156.23,44.22,57.36,1.33,9.13,0xfc2179511e178dbdd92499b4db5c293a9c8eb7256825daad0502e87cfd5e315f,2740806,2740525
http://localhost:8545,39,27,156.24,44.22,26.96,0.87,8.12,0x663c054b360ce9e2db03f16f7f135c404f7e2d1216649d093b38a8836da0672c,2740707,2740426
http://localhost:8545,40,17,156.04,44.22,16.81,0.87,8.12,0xc1f4f250f58316f8780fcc9820e34a03ab6bd6ca1e73041d48d80273bdcfbd39,2740743,2740462
http://localhost:8545,41,19,155.99,44.22,21.40,0.88,8.13,0xc5ac9df75ef656051526b2b28e813b39bd61fb4ddce2a8c953661dea6cb592da,2740674,2740393
http://localhost:8545,42,20,155.81,44.22,58.04,1.77,8.15,0x1a87621d545fc99e03c52edea21fb155fc70da62245341db0081e6c7bc435270,2740716,2740435
http://localhost:8545,43,16,156.05,44.22,15.81,0.85,8.13,0x8e76a780efcb16a86fbcbc117729d8050aed9e7fe66a6bf9f74e5a348b28c8f3,2740734,2740453
http://localhost:8545,44,25,156.06,44.22,25.15,0.86,9.13,0xcf305ad62c12f3ca4aa40adc3e6cbbb327445b98e71e9e71de3e7f8e264dfd99,2740755,2740474
http://localhost:8545,45,16,156.15,44.22,15.56,0.86,7.13,0xc676bfa6579211633569fe0f9fa4937dc187edd9eacc6e4dad0b0bb9715d6eeb,2740788,2740507
http://localhost:8545,46,22,156.32,44.22,52.49,1.62,8.15,0x396d0b356e3ffcb454ac1ce66a5838f51ebeae1cfb4796921a3683ebd5b07eb6,2740758,2740477
http://localhost:8545,47,15,155.97,44.22,15.10,0.87,9.13,0x7ed4ae9f3401143f2e28e894d0ad764f2c9788311ebf1ba0b68ca65cd1cb59d8,2740719,2740438
http://localhost:8545,48,25,156.16,44.22,25.63,0.87,8.13,0xba8faf0cf21509f667247059c8f39389d02de0cf45db1c3729d35741c215c27a,2740764,2740483
http://localhost:8545,49,14,156.17,44.22,15.69,0.87,7.12,0x5d7de48288db84a949671762a3daaa9079f47a468241c06a3ccfc783439e6dde,2740764,2740483
http://localhost:8545,50,25,156.18,44.22,58.32,1.31,8.16,0xd768324c6819c07f0fd01a710a28314c38df219c8ddbce0a1669eba80065fab0,2740716,2740435
http://localhost:8545,51,16,156.25,44.22,15.62,0.86,8.13,0x91241277f7dc7470d4cbc41790ffa8b8472d0c38f30dc3bde97861364e97fe32,2740722,2740441
http://localhost:8545,52,15,155.95,44.22,14.20,0.86,9.12,0xd7da424206dc73790f48a4aeeed237e8153c8d1f8d0f99c8734b5349b14a7587,2740791,2740510
http://localhost:8545,53,20,156.14,44.22,19.22,0.87,8.13,0xe4b09b4fd8428788cf6a524cd71926a56addec9292cda967b9987d7df4faca41,2740809,2740528
http://localhost:8545,54,25,155.90,44.22,56.09,1.45,8.12,0xad93d412cdbc620988dc89097f7343d4476bee889a423472a446f13e4a6f61f6,2740776,2740495
http://localhost:8545,55,16,156.15,44.22,16.16,0.86,8.15,0x7f161890847909b0024885e5d715ccade04dd330b94ec57496165d6c59d22836,2740776,2740495
http://localhost:8545,56,12,156.31,44.22,17.56,0.88,9.12,0xb516ed180ecc63af627cfd270476c7ac6ba56dea5d4a93521b4e90409cdc01e8,2740764,2740483
http://localhost:8545,57,21,156.02,44.22,31.87,0.87,7.13,0x03366dd8c739058e5bdf5682757eb1e47652f0f22a25bb8b515f5c54ec017d67,2740662,2740381
http://localhost:8545,58,24,156.19,44.22,68.23,1.56,8.15,0x63a2550cfabbb233c1247477b2e431383b708535641995efd95e8151938489f7,2740698,2740417
http://localhost:8545,59,14,156.42,44.22,14.71,0.86,9.18,0x4c204cc7ede2ee53432cdc74863575019f6b7f74230e4bc923be3c9a1899138d,2740770,2740489
http://localhost:8545,60,17,156.33,44.22,17.88,0.85,8.13,0x39a6e3ed416ffdfe0df8e53115e6356fb960b0b125387384249f34ee800ac4d6,2740755,2740474
http://localhost:8545,61,14,156.04,44.22,14.02,0.86,8.13,0x3a8b57bf3e4e183c63476df691a964bccd34510f847f8c233db4a69f3e061045,2740806,2740525
http://localhost:8545,62,15,156.10,44.22,35.70,1.42,8.11,0xd9ffaafcf866cff3bb7ad2bd1b6f6b3f1df98dbf771a8c45579d3092300c9f14,2740743,2740462
http://localhost:8545,63,28,156.19,44.22,28.38,0.87,8.12,0xb98b8b0c82b7f4c21c5d3ef31dac911575994c5fa7b4fc56876e6eafe566f6cb,2740779,2740498
http://localhost:8545,64,15,156.14,44.22,15.18,0.87,8.16,0xcea6ed8bc322a34ab2bd1429118083828f5fd3b69ab5a114680247d9c2cfa1af,2740722,2740441
http://localhost:8545,65,17,156.06,44.22,16.99,0.86,9.13,0x6224dd842f72e4e797447a728a77edf0cd86839566a9509bc0397579aa7250a8,2740737,2740456
http://localhost:8545,66,23,156.02,44.22,57.19,1.37,7.11,0x655de1d987e452807146ccf837cf72df92599fd310feb74b8aba062eafb3e8b3,2740719,2740438
http://localhost:8545,67,16,156.26,44.22,15.13,0.87,8.15,0xfe31c27aa347ff6103406aef419adb754322598864af356f11e7c92aaa8541eb,2740656,2740375
http://localhost:8545,68,26,156.21,44.22,26.21,0.87,8.15,0x435fd41850c88cd271698cb8132ccb4596ea5f7018547fc67875b7a73266f017,2740788,2740507
http://localhost:8545,69,14,156.49,44.22,14.60,0.87,8.12,0x818d9b740b29cee51073468082ada34e8de2a3af65cf7b74b58583b9d40d6bca,2740854,2740573
http://localhost:8545,70,25,156.19,44.22,56.62,1.27,9.13,0x416ccd450ac9ca8395a34ebe0900fe5cba26da170c2694a392e04e3dea747d5a,2740716,2740435
http://localhost:8545,71,19,156.25,44.22,18.24,0.86,8.13,0x193a4de639351522f54064e8c9d58cc6b38ca91d93ccbe824781ead152ec13d3,2740785,2740504
http://localhost:8545,72,17,156.14,44.22,16.61,0.87,8.12,0x5884752b58cf1d6e3a11cb4b9d7fc9bf7a65b06dbe590c70bc59b8b01f36ca90,2740752,2740471
http://localhost:8545,73,16,156.09,44.22,15.18,0.87,8.16,0x9fcf9f36c03ee4df3abd3893627616e3b6f8feb217f3a692cbc6920b48a3fbc8,2740692,2740411
http://localhost:8545,74,26,156.08,44.22,65.19,1.57,9.14,0x654721ac7ef82b5ed1c61bd005b8eb574e4b81c1ad3b0876b13204a80c138c3f,2740770,2740489
http://localhost:8545,75,14,156.16,44.22,14.34,0.87,7.18,0x5db58a099e0d7b4b5cb6a90ec46c93111859ef880370ec4c3ed89c69bb25b2d5,2740686,2740405
http://localhost:8545,76,16,156.24,44.22,17.45,0.87,9.13,0x0af3a88013626773f7910283d23a889e0e98eb50ea778c72170bbd4bce922a54,2740794,2740513
http://localhost:8545,77,14,156.21,44.22,14.84,0.86,7.18,0x5fa906b20ec7a500dc6052322cc8e4248b7f0a940151a9baddd0f458d5eb2d42,2740710,2740429
http://localhost:8545,78,26,156.17,44.22,56.98,1.41,9.17,0xd8dea3127b225ca0339bf010b4e3319d514d931bb0ae040f9b44145a3ba7fc51,2740725,2740444
http://localhost:8545,79,19,156.25,44.22,19.12,0.87,7.12,0xc380eebf0945c483cc9addb1ec52100d084f67d1851ce343ae9f82a365f26547,2740761,2740480
http://localhost:8545,80,16,156.15,44.22,15.92,0.87,8.13,0x75753cc723df6e4a6c69a7d8b4d2c1fdafc0fcf8d0a902ff374d46d4c838e820,2740731,2740450
http://localhost:8545,81,17,156.08,44.22,16.26,0.86,9.16,0x2c264d83ba672ad3b6986f2083dd09e08b3793c79c2a5306eeeb87ac184229df,2740650,2740369
http://localhost:8545,82,27,156.05,44.22,60.87,1.61,8.12,0x059fe157860542be9d45f3b61bc91fe3f27c684dc0e49bfa11abc4dbc998ee38,2740677,2740396
http://localhost:8545,83,13,156.02,44.22,12.68,0.86,9.13,0xa516a7e184c8eb3b3d6112537f36b2af88583d770a3a0c3a5f48daf183ad6994,2740776,2740495
http://localhost:8545,84,16,156.10,44.22,16.17,0.87,7.14,0x9b2c59ba99a27e2216403a5a7dae4d7f7bbe9d52f6e5dea06ddb12705213e85a,2740728,2740447
http://localhost:8545,85,18,156.17,44.22,18.10,0.87,9.13,0x73ad98da66cb3c5d4095e19e277d6f61b4700195e42f9fa49d218813ca6e4010,2740734,2740453
