"Time","zama-dev-fhevm-validator-1"
2024-09-03 15:20:15,1.22
2024-09-03 15:20:30,1.54
2024-09-03 15:20:45,1.51
2024-09-03 15:21:00,1.59
2024-09-03 15:21:15,1.55
2024-09-03 15:21:30,1.58
2024-09-03 15:21:45,1.54
2024-09-03 15:22:00,1.66
2024-09-03 15:22:15,1.58
2024-09-03 15:22:30,1.64
2024-09-03 15:22:45,1.59
2024-09-03 15:23:00,1.49
2024-09-03 15:23:15,1.52
2024-09-03 15:23:30,1.49
2024-09-03 15:23:45,1.54
2024-09-03 15:24:00,1.52
2024-09-03 15:24:15,1.59
2024-09-03 15:24:30,1.55
2024-09-03 15:24:45,1.62
2024-09-03 15:25:00,1.56
2024-09-03 15:25:15,1.63
2024-09-03 15:25:30,1.59
2024-09-03 15:25:45,1.64
2024-09-03 15:26:00,1.61
2024-09-03 15:26:15,1.63
2024-09-03 15:26:30,1.56
2024-09-03 15:26:45,1.64
2024-09-03 15:27:00,1.67
2024-09-03 15:27:15,1.76
2024-09-03 15:27:30,1.77
2024-09-03 15:27:45,1.77
2024-09-03 15:28:00,1.62
2024-09-03 15:28:15,1.60
2024-09-03 15:28:30,1.60
2024-09-03 15:28:45,1.58
2024-09-03 15:29:00,1.63
2024-09-03 15:29:15,1.64
2024-09-03 15:29:30,1.68
2024-09-03 15:29:45,1.71
2024-09-03 15:30:00,1.71
2024-09-03 15:30:15,1.70
2024-09-03 15:30:30,1.71
2024-09-03 15:30:45,1.66
2024-09-03 15:31:00,1.75
2024-09-03 15:31:15,1.77
2024-09-03 15:31:30,1.80
2024-09-03 15:31:45,1.73
2024-09-03 15:32:00,1.80
2024-09-03 15:32:15,1.82
2024-09-03 15:32:30,1.85
2024-09-03 15:32:45,1.90
2024-09-03 15:33:00,1.84
2024-09-03 15:33:15,1.87
2024-09-03 15:33:30,1.73
2024-09-03 15:33:45,1.81
2024-09-03 15:34:00,1.79
2024-09-03 15:34:15,1.80
2024-09-03 15:34:30,1.83
2024-09-03 15:34:45,1.84
2024-09-03 15:35:00,1.84
2024-09-03 15:35:15,1.77
2024-09-03 15:35:30,1.81
2024-09-03 15:35:45,1.72
2024-09-03 15:36:00,1.77
2024-09-03 15:36:15,1.79
2024-09-03 15:36:30,1.80
2024-09-03 15:36:45,1.77
2024-09-03 15:37:00,1.76
2024-09-03 15:37:15,1.72
2024-09-03 15:37:30,1.83
2024-09-03 15:37:45,1.79
2024-09-03 15:38:00,1.83
2024-09-03 15:38:15,1.83
2024-09-03 15:38:30,1.71
2024-09-03 15:38:45,1.88
2024-09-03 15:39:00,1.81
2024-09-03 15:39:15,1.90
2024-09-03 15:39:30,1.90
2024-09-03 15:39:45,1.81
2024-09-03 15:40:00,1.87
2024-09-03 15:40:15,1.78
2024-09-03 15:40:30,1.85
2024-09-03 15:40:45,1.78
2024-09-03 15:41:00,1.86
2024-09-03 15:41:15,1.86
2024-09-03 15:41:30,1.81
2024-09-03 15:41:45,1.86
2024-09-03 15:42:00,1.83
2024-09-03 15:42:15,1.79
2024-09-03 15:42:30,1.80
2024-09-03 15:42:45,1.90
2024-09-03 15:43:00,1.82
2024-09-03 15:43:15,1.84
2024-09-03 15:43:30,1.86
2024-09-03 15:43:45,1.68
2024-09-03 15:44:00,1.73
2024-09-03 15:44:15,1.66
2024-09-03 15:44:30,1.75
2024-09-03 15:44:45,1.75
2024-09-03 15:45:00,1.74
2024-09-03 15:45:15,1.80
2024-09-03 15:45:30,1.85
2024-09-03 15:45:45,1.79
2024-09-03 15:46:00,1.77
2024-09-03 15:46:15,1.72
2024-09-03 15:46:30,1.73
2024-09-03 15:46:45,1.83
2024-09-03 15:47:00,1.82
2024-09-03 15:47:15,1.90
2024-09-03 15:47:30,1.73
2024-09-03 15:47:45,1.71
2024-09-03 15:48:00,1.76
2024-09-03 15:48:15,1.75
2024-09-03 15:48:30,1.81
2024-09-03 15:48:45,1.81
2024-09-03 15:49:00,1.80
2024-09-03 15:49:15,1.68
2024-09-03 15:49:30,1.76
2024-09-03 15:49:45,1.74
2024-09-03 15:50:00,1.80
2024-09-03 15:50:15,1.79
2024-09-03 15:50:30,1.81
2024-09-03 15:50:45,1.90
2024-09-03 15:51:00,1.82
2024-09-03 15:51:15,1.86
2024-09-03 15:51:30,1.72
2024-09-03 15:51:45,1.76
2024-09-03 15:52:00,1.82
2024-09-03 15:52:15,1.81
2024-09-03 15:52:30,1.82
2024-09-03 15:52:45,1.90
2024-09-03 15:53:00,1.87
2024-09-03 15:53:15,1.97
2024-09-03 15:53:30,1.94
2024-09-03 15:53:45,1.78
2024-09-03 15:54:00,1.76
2024-09-03 15:54:15,1.77
2024-09-03 15:54:30,1.70
2024-09-03 15:54:45,1.83
2024-09-03 15:55:00,1.82
2024-09-03 15:55:15,1.84
2024-09-03 15:55:30,1.93
2024-09-03 15:55:45,1.69
2024-09-03 15:56:00,1.75
2024-09-03 15:56:15,1.82
2024-09-03 15:56:30,1.79
2024-09-03 15:56:45,1.87
2024-09-03 15:57:00,2.01
2024-09-03 15:57:15,1.99
2024-09-03 15:57:30,2.01
2024-09-03 15:57:45,2.13
2024-09-03 15:58:00,2.08
2024-09-03 15:58:15,2.03
2024-09-03 15:58:30,1.90
2024-09-03 15:58:45,2.01
2024-09-03 15:59:00,2.02
2024-09-03 15:59:15,2.11
2024-09-03 15:59:30,2.13
2024-09-03 15:59:45,1.99
2024-09-03 16:00:00,1.90
2024-09-03 16:00:15,1.78
2024-09-03 16:00:30,1.32
