Timestamp,CPU_Usage(%),Memory_Usage(MB)
2024-09-03 09:50:33,4.98,544.6
2024-09-03 09:50:35,5.90,544.6
2024-09-03 09:50:38,4.83,544.6
2024-09-03 09:50:41,5.06,544.6
2024-09-03 09:50:43,5.97,544.6
2024-09-03 09:50:46,4.53,544.6
2024-09-03 09:50:48,5.08,544.7
2024-09-03 09:50:51,6.19,544.7
2024-09-03 09:50:53,27.38,579.2
2024-09-03 09:50:56,6.13,579.1
2024-09-03 09:50:58,195.06,579.1
2024-09-03 09:51:01,99.79,648
2024-09-03 09:51:03,5.73,661.5
2024-09-03 09:51:06,4.93,661.5
2024-09-03 09:51:08,222.04,608.6
2024-09-03 09:51:11,161.95,660.8
2024-09-03 09:51:13,6.90,675.1
2024-09-03 09:51:16,5.30,675.1
2024-09-03 09:51:18,190.76,675.2
2024-09-03 09:51:21,146.15,664.7
2024-09-03 09:51:23,77.18,714.2
2024-09-03 09:51:26,4.95,714.2
