provider,Row Number,Encryption Time (ms),Encrypted Data Size (KB),Transaction Size (KB),CPU Usage (%),Memory Usage (MB),Transaction Confirmation Time (s),Transaction Hash,Estimated Gas,Actual Gas Used
https://devnet.zama.ai,1,42,156.04,44.22,45.45,5.49,5.79,0x8c0a766cbb5e377e6e6193612639785f812aaa44984f157b8a00b2979f1390cd,2759640,2759359
https://devnet.zama.ai,2,18,156.52,44.22,46.15,0.88,12.27,0xb3a5896bebb818b7ce80f3e4461278fa1525f8a0efe5c7cf76788fe3e98f7024,2740779,2740498
https://devnet.zama.ai,3,35,156.33,44.22,77.42,0.65,11.77,0x21dc2ad0b1fe2f00536f1ae2de194068bd53df6d14c304df9d77315e1a9f7959,2740704,2740423
https://devnet.zama.ai,4,21,156.15,44.22,41.18,1.34,7.23,0x7331c1c36970adcbfb2d437c47d6974649fce21f20dbf51acb616e4405b51453,2740731,2740450
https://devnet.zama.ai,5,22,156.22,44.22,57.89,1.46,7.28,0xe711ef6acf31a59fe91d5d92fae531dfca0fd77f50913c2eb5e08a93a179095e,2740752,2740471
https://devnet.zama.ai,6,17,156.19,44.22,35.71,1.54,9.06,0x3d7b8ee7de128f3af7dac3bdcbf21fc71b458ea79bf274197cdfe23dcc50498d,2740713,2740432
https://devnet.zama.ai,7,22,156.20,44.22,41.18,1.60,6.99,0x8587adfbe08be4dc3d79b8eb9b5f9f6567a6fb184e61736116ac5b71060c76e2,2740776,2740495
https://devnet.zama.ai,8,15,156.42,44.22,12.50,0.87,9.32,0x5750326e888f3998883912043c66a8d87fbe16b5390c32290ba19088ff405f93,2740782,2740501
https://devnet.zama.ai,9,20,156.17,44.22,47.37,1.35,7.16,0x508dca57d8ee4c10ce9c168e1c39e29fe33d982334fc579ac19e57ef1529e98c,2740770,2740489
https://devnet.zama.ai,10,24,156.30,44.22,42.11,1.51,7.54,0x5b35b743cdb0cbef1b4d30d7ca7e50b7f656762fd929b0b24d93b807f08dd4ef,2740743,2740462
https://devnet.zama.ai,11,16,155.96,44.22,35.71,0.87,8.13,0xc745b85f5f00a5a3185987ea4f05ccadbb9b4bb3d3145e84bf2eb2138461aef3,2740725,2740444
https://devnet.zama.ai,12,24,156.16,44.22,47.37,1.28,8.13,0xa9d3d5841b496becb208580d1a586caa1fcc7b68aaac6d72467f974fdf934479,2740734,2740453
https://devnet.zama.ai,13,23,156.38,44.22,43.75,1.45,8.37,0x229de3c6f14868267eb2abe375cfbf675461422bf8a590584526982b525bdb14,2740803,2740522
https://devnet.zama.ai,14,16,156.07,44.22,27.27,0.87,8.23,0x12afe9ac0f6eae5033de07c960be47a108b9aed63c729b049f7d4a6e485144f3,2740737,2740456
https://devnet.zama.ai,15,35,156.23,44.22,83.33,1.20,8.53,0x66673ef262c69a54617090926e840a70aa9bdffa852bca9f33fb5d79426ba310,2740791,2740510
https://devnet.zama.ai,16,20,156.26,44.22,55.56,1.46,12.42,0x5d500a0753eb8e616de496dc2ffbafdd07ee60a6b3d334382158ec26f5d06252,2740698,2740417
https://devnet.zama.ai,17,21,156.03,44.22,38.89,0.86,8.21,0x727243789a876526fc27fe6f0280c6dd6ddd2a80136b9b721f13601f46aefe4e,2740686,2740405
https://devnet.zama.ai,18,13,156.14,44.22,18.18,0.86,8.11,0x7b6597d1fac3ac8dcc34967e55d8b87eae276b1dd0fd438ebf8618edead8e472,2740725,2740444
https://devnet.zama.ai,19,15,156.15,44.22,42.86,0.87,8.25,0x0dc71c3fc0693db82b37a70770ae2d9ad996759ae862d6eacb2530480d9fb37d,2740794,2740513
https://devnet.zama.ai,20,15,156.04,44.22,33.33,1.59,7.21,0x1a501bdd7c00f8b4023eac1854991948d46df597a82ea21c464be558773bc63c,2740737,2740456
https://devnet.zama.ai,21,13,156.13,44.22,25.00,0.87,8.20,0x115b934e56818fa463b87b3fe572587d13e3fe691832c50c693c973586544246,2740755,2740474
https://devnet.zama.ai,22,13,156.13,44.22,22.22,0.87,7.48,0x3a6a0b067cb6c4f719bc8bc6bfe49f53796a2f15e03da573a1aa9169e246b571,2740728,2740447
https://devnet.zama.ai,23,14,156.29,44.22,16.67,0.87,8.19,0x49ef7edb579226d62967112acf58233fc54daa401796b325a93c58cbe2ccb551,2740731,2740450
