provider,Row Number,Encryption Time (ms),Encrypted Data Size (KB),Transaction Size (KB),CPU Usage (%),Memory Usage (MB),Transaction Confirmation Time (s),Transaction Hash,Estimated Gas,Actual Gas Used
https://devnet.zama.ai,1,39,156.10,44.22,46.88,5.28,3.20,0x991d242e64fa9a6a377a14f6396e1df7f0529806114d1c5da1c5d79f8b1f991d,1205229,1204940
https://devnet.zama.ai,2,24,156.04,44.22,50.00,0.50,4.26,0x8b77b0ccefebfda0c70b836518f465eef99736a249623e0d08be3635b816399c,1187742,1187453
https://devnet.zama.ai,3,18,156.12,44.22,46.15,1.44,8.29,0x4c915656440d0498cd6d80136156e4f0b654c03ff007d5d96bace24cd2747876,1187688,1187399
https://devnet.zama.ai,4,24,156.39,44.22,40.00,1.31,8.47,0xb2454d2bc5edde5e077e79978cae75ab6cf965c99df208ca5265e83f5d5a067d,1187727,1187438
https://devnet.zama.ai,5,15,156.14,44.22,33.33,0.87,4.08,0x5efcc54c003d5f40b08d9ce5f6d6b98ede4612e07043b42365fdaf21200a8310,1187745,1187456
https://devnet.zama.ai,6,14,156.30,44.22,22.22,0.87,8.09,0x2dfceb76dcd6711e68bd6024b7b1ba0c13fb7bf8db7b113361a93aacc5fbb5aa,1187709,1187420
https://devnet.zama.ai,7,14,156.10,44.22,23.08,0.87,3.15,0x552ab53369042029aee5905ec729ad97e7b71c41c91dcc6d0269f73f6f785f06,1187769,1187480
https://devnet.zama.ai,8,19,155.88,44.22,30.77,1.42,4.41,0x29eec48abe6911585574642b8c9ee3924de05baf79d7b92b27162aec1b4b0ba1,1187739,1187450
https://devnet.zama.ai,9,14,156.23,44.22,12.50,0.87,2.63,0xe85710347e22afe773fafaf3849b5141948498829d12d8b8b9f143690033ab70,1187790,1187501
https://devnet.zama.ai,10,13,156.29,44.22,22.22,0.87,4.76,0x041bea55e865a31a19df5de0418cf3be4cb48431cd8fe4cab554b2a7aea8214e,1187673,1187384
https://devnet.zama.ai,11,13,156.32,44.22,22.22,0.87,7.93,0x491250a10d2e71ea0b75ed211d6ae645069bfac80795ec37ed4b626256c951bc,1187796,1187507
https://devnet.zama.ai,12,16,156.05,44.22,46.15,1.74,7.78,0x614a176abefbbac70185c4b79d8d2075ffbe29bd2ba79be07486b78afe6a69ee,1187688,1187399
https://devnet.zama.ai,13,15,156.09,44.22,33.33,0.87,8.18,0xb1bbe0503055969d36e8a6bbd483ce7ac3822e99c113be6edf81a46a2f5f21df,1187760,1187471
https://devnet.zama.ai,14,14,156.06,44.22,22.22,0.87,3.58,0x4cb7fd21193cd25d87ba1be72fd094db7e452eb0703393f362f9d2d050a01d44,1187775,1187486
https://devnet.zama.ai,15,23,156.16,44.22,30.00,0.87,3.36,0x4ed6944c14423d42eba661bea04f42c29db2e8c5c6fe8a4b233c3c7589bf10a4,1187796,1187507
https://devnet.zama.ai,16,25,156.25,44.22,58.82,1.33,4.30,0x9e81d9408de161e51738b4192ce600713374503ee4a473110ba336cf3f006bcf,1187763,1187474
https://devnet.zama.ai,17,18,156.18,44.22,16.67,0.87,7.76,0x7e2f7c8e65a28e74709bf2083f8a1015fc265bdefa836c336d0473414f76be46,1187736,1187447
https://devnet.zama.ai,18,14,156.27,44.22,46.15,0.86,3.63,0xb7376b2540de86bbc9868fcba9f65f5ccee5dc485061481e70b581466fcdb7f5,1187736,1187447
https://devnet.zama.ai,19,13,156.03,44.22,12.50,0.86,4.07,0x247aea34e2eae59ebc5971a7760fd378cf051c1c0c32ca4b5f96b1899c30aa13,1187685,1187396
https://devnet.zama.ai,20,18,156.30,44.22,33.33,1.32,8.23,0x52cfe69a2271464121481e88c929339d140239d12b26a7b6e13ba247748e0586,1187712,1187423
https://devnet.zama.ai,21,14,156.20,44.22,33.33,0.86,3.91,0x722ae7a86cd0eff68394485541196e8f75122add7cedb47380d34f589b7d2f66,1187721,1187432
https://devnet.zama.ai,22,14,156.35,44.22,18.18,0.87,2.95,0x5b2c43c3df217e80d723040f3e22ad178aa297b7076ffb6c6ba4ed3279597155,1187691,1187402
