QoS_type,QoS_type_EncryptionTime(ms),QoS_type_EncryptedSize(Bytes),QoD_model,QoD_model_EncryptionTime(ms),QoD_model_EncryptedSize(Bytes),QoD_os-version,QoD_os-version_EncryptionTime(ms),QoD_os-version_EncryptedSize(Bytes),QoS_operator,QoS_operator_EncryptionTime(ms),QoS_operator_EncryptedSize(Bytes),MOS,MOS_EncryptionTime(ms),MOS_EncryptedSize(Bytes)
4,24.794,2,3,6.899,2,2,4.287,2,2,5.065,2,3,2.773,2
5,4.828,2,14,2.944,2,17,3.251,2,4,5.688,2,5,3.871,2
2,3.211,2,15,6.562,2,11,4.523,2,2,2.575,2,4,2.378,2
2,3.413,2,8,3.815,2,4,2.874,2,2,2.459,2,5,2.780,2
4,2.773,2,15,3.533,2,11,3.697,2,4,3.923,2,5,2.687,2
3,2.775,2,14,2.608,2,17,3.457,2,4,2.933,2,4,4.036,2
5,4.236,2,6,3.960,2,14,4.473,2,4,5.994,2,5,2.499,2
4,2.735,2,14,3.247,2,17,2.631,2,4,2.662,2,4,3.142,2
5,3.159,2,3,3.258,2,2,2.554,2,4,3.615,2,3,3.283,2
4,3.384,2,14,4.209,2,17,3.142,2,2,3.329,2,4,3.856,2
2,4.293,2,6,4.604,2,14,3.073,2,1,5.264,2,4,3.102,2
2,4.426,2,6,5.460,2,14,2.936,2,1,2.777,2,4,2.417,2
2,4.506,2,6,2.950,2,14,3.709,2,2,3.412,2,5,2.724,2
4,2.864,2,6,3.224,2,14,3.195,2,4,4.190,2,4,3.713,2
5,2.611,2,1,2.573,2,1,2.642,2,1,2.643,2,5,2.558,2
4,2.527,2,6,2.934,2,14,3.321,2,2,2.828,2,5,3.012,2
3,2.790,2,3,3.100,2,2,3.022,2,1,2.810,2,5,2.697,2
5,3.028,2,14,3.151,2,17,2.592,2,4,2.642,2,5,2.974,2
3,4.341,2,3,4.126,2,2,3.859,2,4,2.581,2,3,2.828,2
4,2.862,2,15,3.766,2,11,4.183,2,2,4.555,2,4,4.252,2
3,2.813,2,3,2.713,2,2,3.082,2,4,3.720,2,5,2.636,2
4,2.905,2,15,3.159,2,11,3.106,2,2,3.573,2,5,4.330,2
5,4.465,2,14,3.266,2,17,4.522,2,4,3.155,2,3,4.673,2
3,3.240,2,3,3.231,2,2,2.895,2,4,3.669,2,5,4.179,2
3,3.337,2,3,4.677,2,2,2.902,2,1,3.228,2,4,2.726,2
4,2.830,2,15,2.651,2,11,3.731,2,4,3.235,2,5,2.686,2
4,3.121,2,1,2.681,2,1,3.127,2,2,2.620,2,4,2.511,2
5,2.561,2,6,3.583,2,16,3.039,2,4,2.609,2,4,2.555,2
4,4.407,2,6,3.375,2,14,2.824,2,4,2.541,2,5,3.213,2
5,3.717,2,14,3.111,2,18,3.193,2,4,4.637,2,4,2.820,2
2,2.761,2,3,2.997,2,2,3.037,2,4,2.602,2,3,2.962,2
4,2.947,2,15,3.294,2,11,2.661,2,2,3.077,2,5,2.664,2
4,2.984,2,15,2.711,2,11,2.704,2,2,3.081,2,5,2.978,2
5,2.759,2,15,2.732,2,11,3.104,2,1,2.877,2,3,2.532,2
2,2.573,2,3,2.620,2,2,2.602,2,2,3.285,2,4,3.252,2
2,2.924,2,1,4.148,2,1,4.630,2,4,6.117,2,4,3.679,2
2,3.021,2,15,4.507,2,11,3.998,2,2,3.438,2,4,3.035,2
4,3.331,2,15,2.820,2,11,2.868,2,2,2.965,2,4,2.605,2
4,3.401,2,15,2.646,2,11,2.779,2,3,3.007,2,3,3.324,2
2,3.173,2,3,3.359,2,2,3.882,2,4,3.615,2,5,4.296,2
4,2.372,2,3,3.312,2,2,3.601,2,4,2.655,2,5,2.625,2
5,4.076,2,1,3.981,2,1,2.569,2,1,3.149,2,4,2.406,2
3,2.324,2,3,3.145,2,2,2.907,2,4,2.903,2,4,2.873,2
5,2.668,2,4,7.035,2,8,2.627,2,4,2.626,2,5,2.839,2
2,4.470,2,3,2.797,2,2,2.531,2,1,2.557,2,3,2.789,2
5,2.709,2,5,2.552,2,7,3.099,2,4,3.380,2,5,3.361,2
3,3.156,2,3,2.631,2,2,3.632,2,1,2.439,2,4,2.771,2
3,3.384,2,3,3.010,2,2,2.997,2,4,2.999,2,3,2.728,2
5,2.779,2,14,2.601,2,17,4.317,2,4,4.021,2,4,4.055,2
2,3.617,2,3,4.048,2,2,2.706,2,1,3.339,2,5,3.430,2
2,4.012,2,8,4.387,2,4,4.237,2,2,4.417,2,4,2.986,2
3,3.779,2,1,3.769,2,1,4.104,2,4,2.857,2,2,3.214,2
2,2.586,2,3,3.169,2,2,2.846,2,1,2.734,2,4,4.913,2
5,2.981,2,14,2.662,2,17,2.638,2,4,2.683,2,5,2.725,2
2,2.690,2,15,2.582,2,11,3.185,2,2,3.147,2,4,3.328,2
2,3.031,2,6,4.249,2,14,4.246,2,1,3.172,2,3,2.760,2
