provider,Row Number,Encryption Time (ms),Encrypted Data Size (KB),Transaction Size (KB),CPU Usage (ms),Memory Usage (MB),Transaction Confirmation Time (s),Transaction Hash,Estimated Gas,Actual Gas Used
http://localhost:8545,1,63,155.95,44.22,230.45,6.04,9.17,0x1c89a12dd6da743a1ad196f77c5e145aa5c6983c5f61ee4a553bfc8c2409809a,2740752,2740471
http://localhost:8545,2,24,156.12,44.22,41.24,0.87,8.18,0xaf73339bc672436669d7d0aa113f9b23fb6acb0b7c4c9ff90d4abb7c7f763613,2740728,2740447
http://localhost:8545,3,23,156.01,44.22,58.40,-0.07,9.23,0x2e7891aeec0f26d52a68e87675602df91c4fd43532c32926d0d83ada03d34a3a,2740734,2740453
http://localhost:8545,4,36,156.22,44.22,80.77,1.53,8.17,0x4d977781636129202b40b20758c8672ea55665a04cc4c97bedd6d33a2fde0654,2740734,2740453
http://localhost:8545,5,29,155.93,44.22,61.12,1.33,9.16,0x5e702b9e6d29bc01337608ee7642013b30d041d6f927796b9dc2a3ab1778161f,2740713,2740432
http://localhost:8545,6,22,156.12,44.22,56.90,1.33,8.21,0x7b0b7f14e7559650063b0e2a4c7f4d861e3f2968aa85fc6cc4d99693b1b36575,2740749,2740468
http://localhost:8545,7,21,156.25,44.22,20.89,0.87,8.16,0x4ffc47e6ef774dbbdcdcddfac4f12869b671aeda9c93574907e12b21ee9a3784,2740692,2740411
http://localhost:8545,8,19,156.28,44.22,18.48,0.87,8.15,0x5120d0f41bb6351633ad1b46fffc76f24e5500c9a9b0e4beb0258071e7c51a22,2740734,2740453
http://localhost:8545,9,17,156.18,44.22,16.63,0.87,9.14,0xc75fc890cab63d1ad69aa7f68a579f4076606723d5c1ef51f31867303bdb2a41,2740728,2740447
http://localhost:8545,10,26,156.24,44.22,67.68,1.60,8.14,0xc6f86bc15282cdc9657773b34aa669544b0202dd947ba6818024986459df5bc0,2740704,2740423
http://localhost:8545,11,18,156.16,44.22,18.71,0.86,9.14,0xacc7af8414d9053131112792ae05c2ce46955571782c41e04515b267b1bdcc63,2740677,2740396
http://localhost:8545,12,19,156.16,44.22,18.51,0.86,9.15,0x4610b13979b37d471ee739c8080e17beb1263378588e985859e8916ce3c44aa2,2740719,2740438
http://localhost:8545,13,16,156.28,44.22,16.43,0.88,8.14,0x825bb4aa8152bb57bfaf9d5c2722e65457169bb38ed9e509d73ca99a5d1bfbaa,2740740,2740459
http://localhost:8545,14,26,156.08,44.22,64.92,1.54,9.17,0xf2bf457fe0530ee25aea41c11760cee8c5201146bb4177f650baf44dea835e5d,2740749,2740468
http://localhost:8545,15,35,156.18,44.22,34.00,0.85,11.16,0xaf244c4663de6565704ea1f7d4e569e23ef7a1368e1cca207f4a371de684290b,2740776,2740495
http://localhost:8545,16,27,156.11,44.22,53.61,0.87,7.14,0xd71d6527571e35024622fbce40fa211442013a825d1a5b03eec9785dc34801a2,2740761,2740480
http://localhost:8545,17,20,156.01,44.22,19.50,0.86,9.16,0x7b8f23b15d6c4abe765e9ad3562fcccae431e53f57b7caad356b8ba4f5d5b664,2740749,2740468
http://localhost:8545,18,19,156.10,44.22,49.86,1.55,8.21,0x49fe0f0b06fb733e97892bd1d8cd2934d2d90b803a0e347bff7b48a2dc1f3279,2740746,2740465
http://localhost:8545,19,16,156.01,44.22,15.37,0.87,9.15,0x033367e6599bb50fd1cc4c4300880727b1d4a8c5e775eca189db28bbbf1412e2,2740752,2740471
http://localhost:8545,20,17,156.23,44.22,16.72,0.87,8.16,0x729a5e528d738c8947f0de87e37b59c179b0a85307a87c4ed853203ffb334bd5,2740779,2740498
http://localhost:8545,21,17,156.14,44.22,18.07,0.87,8.17,0x1dd7826e82516f8cb3b19ab290068067970ea7be93771f9b571b73e70b9ac999,2740749,2740468
http://localhost:8545,22,32,156.23,44.22,72.59,1.59,8.13,0x46c8bfc90fdadd314d7f75ab82b6d14e81f176bd55e024b89d778a461208022f,2740698,2740417
http://localhost:8545,23,29,155.98,44.22,30.16,0.87,9.13,0x128b0bd99b36d248fc398d0a8525126b2b9e30ffc7c6029589a1fe695a94cb84,2740722,2740441
http://localhost:8545,24,17,156.25,44.22,17.86,0.87,9.15,0xe32cbfa25159d5b6ae768893f66d9039802bab7c9607de97db3cfb92cfb69c69,2740734,2740453
http://localhost:8545,25,16,156.12,44.22,15.88,0.87,8.14,0x0a2a2ab6969451bb53b84e6a9fa6ec375ac8614f72053a1a7395dec4194feccb,2740755,2740474
http://localhost:8545,26,23,156.15,44.22,53.69,1.39,9.14,0xbac457063e278bf9de38ce713566c026cab7d1418ad04346c9bbd3c153239558,2740761,2740480
http://localhost:8545,27,17,156.34,44.22,17.29,0.87,8.14,0x564d79c385ea9dd147c3aeb5966c83470971a46a16b30fc975011e4386c5c607,2740731,2740450
http://localhost:8545,28,17,156.09,44.22,16.20,0.87,8.15,0xf0d1027572bc4d492e657f129e52e7cd9218493966c1aa35f79a9080558bb897,2740713,2740432
http://localhost:8545,29,25,156.04,44.22,24.51,0.87,9.17,0x2ef7c15e105f1ed802c62e0081b8da7a61383352b0aab3d45c56ed42a9b5f343,2740710,2740429
http://localhost:8545,30,49,156.18,44.22,79.17,1.21,8.14,0xccf1ee359228ed9550c226e7c9b54dbb84de20b6d4ba6c0f613074be106632a9,2740767,2740486
http://localhost:8545,31,21,156.08,44.22,20.45,0.87,8.15,0x1159f147b79d708806e97a10e1abf70ca312431ea5dfefb6ec1ddbb4a64c1886,2740743,2740462
http://localhost:8545,32,18,156.08,44.22,17.83,0.87,9.13,0x37949a5f266c56fb03e818a6e854b61146f86335a7ce3c17eed97420220b6955,2740674,2740393
http://localhost:8545,33,18,156.32,44.22,17.59,0.87,8.12,0x732a39bf48bcdd422e1a5f50df3a46a8d65df6fc71a338d72777a3c068e93b45,2740761,2740480
http://localhost:8545,34,24,156.22,44.22,58.57,1.41,9.15,0x92e2ffbea9e3426bf06b663cec0415dad246dd079f60e5c10175aea620c791e3,2740755,2740474
http://localhost:8545,35,18,156.20,44.22,19.10,0.87,8.12,0xee09b7809674ed185eb583e436221c7e3ff2ed19086b5abc5d72653feeca1ad1,2740782,2740501
http://localhost:8545,36,18,156.14,44.22,19.31,0.87,9.14,0x6f5442a9b0a5e3482883693dc7fba1f4610a796417ac048ba1f9ce10296ba9f7,2740713,2740432
http://localhost:8545,37,20,156.18,44.22,45.91,0.89,8.26,0x191ee453973b094896bc9db72213f59b10c509cde675fb5ac288c4311240e13c,2740719,2740438
http://localhost:8545,38,20,156.15,44.22,54.80,1.55,9.13,0xde55550a87072b5ac1049cdeccaa75c9da17e698642b6df8d1d89853cee5119b,2740752,2740471
http://localhost:8545,39,18,156.22,44.22,18.27,0.87,9.15,0x205b8b5a306bdc8ec406794e85a63c1757916751dbda3f6c71252a9b3ce7757b,2740746,2740465
http://localhost:8545,40,16,156.18,44.22,15.85,0.87,8.15,0x81e16bbceda45087e66567de403be875afea71daf3f8ab13cbe07dec122e8703,2740746,2740465
http://localhost:8545,41,18,156.16,44.22,23.38,0.88,8.16,0xb625051841fb8b6ca4b638a05525d466017d84248329e8cdb3358b1c73419f29,2740734,2740453
http://localhost:8545,42,27,156.12,44.22,64.89,1.86,9.14,0x0d592c221a534706902538a790c086011de1c86511d749beeaa792c82d888ecf,2740746,2740465
http://localhost:8545,43,31,156.09,44.22,30.80,0.86,8.19,0xc53a3c4925ad04d076346989ca546b445c1e3e348259ef7b64db1367d4a3bff4,2740758,2740477
http://localhost:8545,44,16,156.27,44.22,15.79,0.87,8.13,0xae6674c6c06fd6f412aea63f316e7d5a8fde97b015bd7fb8477999639c6d7546,2740707,2740426
http://localhost:8545,45,26,156.41,44.22,26.54,0.87,9.14,0xd2ca8e922a0f86f1c65bd6632786f823b372626b834ec2258bd22ccc11c9843f,2740773,2740492
http://localhost:8545,46,24,156.12,44.22,61.96,1.53,9.11,0xa669e9ec35189bad81c6e5cfbd556287445dcf9ce11f945ba8eb4fe8f258cb87,2740734,2740453
http://localhost:8545,47,18,156.02,44.22,18.11,0.87,8.17,0x72875dae196ca28d67c5b5a565fb3fb6b94f409b1465708803e711e9b8a68e8e,2740662,2740381
http://localhost:8545,48,19,156.32,44.22,19.26,0.87,9.15,0x5a8c1982ab4ea5e8b84bc84cc2de3580963ee7c4334c5260dd252ba307ac239f,2740770,2740489
http://localhost:8545,49,32,156.23,44.22,33.96,0.87,8.15,0x4098cfcdf7583fd2b770a241dc72f6e54b692179e389864b0d0b39a0d3240b10,2740800,2740519
http://localhost:8545,50,31,156.14,44.22,73.03,1.31,8.12,0x03dc3883275f51b7969a492ca78ab35f7f1a539a5b1caca18621b692ef4def2d,2740734,2740453
http://localhost:8545,51,31,156.13,44.22,23.48,0.87,8.17,0xded18858391baa2738187ed62f3bd4403d93b70a437d0f7da2641c481e2e9b4a,2740734,2740453
http://localhost:8545,52,19,156.21,44.22,18.75,0.87,9.15,0xfc44cb42a9b4f26d7c3617d7984fb457ceb010675192042891737d8417e11e3f,2740758,2740477
http://localhost:8545,53,18,155.93,44.22,18.45,0.87,8.13,0x054eb597040f1a6202f03633d7eff7a985c7f9ed2abb86c08bc8dbf6d5d4c213,2740752,2740471
http://localhost:8545,54,36,156.42,44.22,82.50,1.32,8.12,0x33332711fa985afa37f752697c158e2893f0c7647346884abbb10d15857a30e8,2740764,2740483
http://localhost:8545,55,22,156.09,44.22,21.84,0.87,9.14,0xff9eef45640510bc9602a63af9263d9315aeb91a957f8beaff6e2416e6fb4bb5,2740752,2740471
http://localhost:8545,56,17,156.14,44.22,17.48,0.86,8.15,0xa336ccce738438dcf9fd9b9cde98484c1b51e22a49ee4084e384bc154b85f734,2740761,2740480
http://localhost:8545,57,19,156.05,44.22,21.92,0.86,8.16,0x37580a018a02509b3cd7994f18e9c40e75ed22fa44642c18ce6899a670f5876f,2740701,2740420
http://localhost:8545,58,35,156.36,44.22,69.56,1.36,9.14,0xcd23ea0d201d8e1878d942512448ab828d79e826ce3db14ee904b7df8cbf9bd6,2740773,2740492
http://localhost:8545,59,29,156.31,44.22,26.89,0.87,9.14,0x78e0fe9c599ddb9218fdc8f87d2d881f85f93123929072f08a6b61ef89174b0e,2740779,2740498
http://localhost:8545,60,18,156.00,44.22,18.41,0.87,8.15,0x7fafe8d9288cdd45c29c7183e114b59671f3ca9b81a0fb6521e00b01c395b442,2740773,2740492
http://localhost:8545,61,18,156.20,44.22,18.02,0.86,9.19,0x32b7880b6c58c37fed473d89482e5b5ab9cf7888fd4ab3e37425178561ce831c,2740671,2740390
http://localhost:8545,62,20,156.06,44.22,48.60,1.32,8.13,0x7c1659d5886d43dbd57cad5e704d88fe0dbd252f3fec009d46c05069e0839cf3,2740743,2740462
http://localhost:8545,63,18,156.21,44.22,17.21,0.87,8.17,0xaea5e9d8cbc3f7f0c99caac3e77e8ecbee80e08db565c20b213bba37a003435b,2740707,2740426
http://localhost:8545,64,23,156.06,44.22,23.11,0.87,9.14,0xd129c98b1997402bcaf6bdd7da812077a27a97691ec6eed017a95e1bd9e06c8d,2740680,2740399
http://localhost:8545,65,18,156.28,44.22,18.22,0.86,9.13,0x6ed5d2570bbe37131c2c0948d8390bb80263ab4bd1a5160dbf7072e4bfc6bdc3,2740773,2740492
http://localhost:8545,66,28,156.23,44.22,64.54,1.27,9.14,0x7108542aa3c560a69667a627598e8c92a03bf6041db5e42c8625bd21f4592653,2740761,2740480
http://localhost:8545,67,17,156.30,44.22,17.08,0.87,8.15,0x9221dfd2e49dad6b06f5f27e38985e6da00468dc808a5342c7e52edf6106830f,2740704,2740423
http://localhost:8545,68,32,156.07,44.22,27.26,0.87,8.12,0x9be9f66f6c0d86bdd9069d97428be0418aae389b5d16c0dfdb74c99ddde611b7,2740707,2740426
http://localhost:8545,69,23,156.22,44.22,23.30,0.86,9.14,0x6cff0df87b1f9dc0977b43199c5bd04ae0dfe42bb40631409810abff929d35f6,2740722,2740441
http://localhost:8545,70,27,156.17,44.22,72.83,1.52,9.14,0x45d0fff35a434242ba9d722f0a45cd88d0f0781c11c8cd717d31a715bae30afb,2740722,2740441
http://localhost:8545,71,18,156.47,44.22,17.39,0.86,8.13,0x6bddc11347333a6f1a3c405d8228380913585252bc6624e880392f60593a6fd4,2740698,2740417
http://localhost:8545,72,20,156.10,44.22,21.71,0.86,8.15,0x29c9d6b7fc3593770dbadd6ffb66c578e0f3859b958d1482d81bafe16defaca2,2740728,2740447
http://localhost:8545,73,31,156.16,44.22,31.53,0.85,9.15,0x29eee0c14c5eb44bb5ad84ee5240024474231f41ebab6ae0c19b701080735ae5,2740770,2740489
http://localhost:8545,74,25,156.18,44.22,60.93,1.47,9.13,0x3f6acc63c3fd272ab4c43b41bf6c322fa8a08507b0d8be568f19f8bde19abf09,2740746,2740465
http://localhost:8545,75,15,156.21,44.22,15.73,0.86,9.16,0x90df38627daa4faa2a197a23e27d5f8931367a2daa9681be6d56fa9273513a95,2740746,2740465
http://localhost:8545,76,17,156.08,44.22,18.12,0.87,8.16,0x75ec314f6b2f7c13408fb5456e3318c93a9e8fcdd46236bf0605e627f6b097bf,2740644,2740363
