provider,Row Number,Encryption Time (ms),Encrypted Data Size (KB),Transaction Size (KB),CPU Usage (%),Memory Usage (MB),Transaction Confirmation Time (s),Transaction Hash,Estimated Gas,Actual Gas Used
https://devnet.zama.ai,1,36,156.27,44.22,42.86,7.20,3.25,0x003f139723a62580283e782fb15fc4499a3532738cd8953505b136733b744cd9,1205184,1204895
https://devnet.zama.ai,2,38,156.12,44.22,55.17,1.17,4.09,0x013b3ca1b23b272d00ec789751053adcbc227b732b20df7176ac3a0530530b68,1187775,1187486
https://devnet.zama.ai,3,42,156.33,44.22,35.29,0.88,8.40,0xbeb082cc02b2a9560707e37bf067b97fd25d70945ebfbda1b990098642daf929,1187673,1187384
https://devnet.zama.ai,4,55,156.09,44.22,48.84,1.33,8.40,0x790df0bf1d893a408ce747b8af8ddbf9a7a741ce09b1decee76c9ab923ad0072,1187772,1187483
https://devnet.zama.ai,5,26,155.90,44.22,59.09,1.53,8.44,0xe620f3cf4478824a18e3295f8d1095329c005fc383bcdea6fa9437ee23f9a092,1187724,1187435
https://devnet.zama.ai,6,51,156.24,44.22,51.16,1.30,8.16,0x280012a923375de620407b5c7e6d9d0678f7fa3c985c426cfe3ac785e19fdc33,1187748,1187459
https://devnet.zama.ai,7,41,156.25,44.22,27.27,0.87,8.36,0x5164f57397644a3fd59f7b90b0cad0d2430824e7c9792af9836b8329b31def15,1187643,1187354
https://devnet.zama.ai,8,36,156.13,44.22,37.93,1.39,4.02,0x1c35313d6419349c9da916e4b46a4f060b557546946b9bcb2aa125490fdb5214,1187736,1187447
https://devnet.zama.ai,9,31,156.19,44.22,50.00,1.37,8.29,0x60f819c020949b9b58ecac80e85f62dcf9c21ad649e755777402e4edf573e32a,1187805,1187516
https://devnet.zama.ai,10,41,156.01,44.22,30.30,0.87,3.79,0xfdffb096810328d78512e6c7b5c0c9a48815431b61d989e730d3a551c4710472,1187706,1187417
https://devnet.zama.ai,11,44,156.21,44.22,39.39,0.87,8.19,0x28592649fe8b6ace3be9032473555d5376303a9a03774ae572127473457b7918,1187784,1187495
https://devnet.zama.ai,12,45,156.25,44.22,29.41,0.87,8.19,0xd5a89e05aeeb50281f02a910cc79cec32a439fef477df6f4ef50f1145e6d48c1,1187796,1187507
https://devnet.zama.ai,13,26,156.00,44.22,43.48,1.41,3.89,0xa20b5edc6ba38559896b63a0dcb294d3beac76907b7374cf45a505781f2a6b8e,1187751,1187462
https://devnet.zama.ai,14,15,156.31,44.22,23.08,0.87,8.09,0x5b3f539bdc3ee45b3c8aad9def60c6341e1966552a2c9d1fda7653736ab64ace,1187814,1187525
https://devnet.zama.ai,15,52,156.30,44.22,48.72,1.46,8.38,0x2673dacf6de926fca243de522ef1de615c335590a8dd4c0c44941ee53444b06e,1187763,1187474
https://devnet.zama.ai,16,53,155.99,44.22,54.76,1.32,4.06,0xb7e070a4d19ea5ce3448df1923c005ca13575567120fbbb8b48d7b7f8da994eb,1187709,1187420
https://devnet.zama.ai,17,42,156.10,44.22,31.43,0.86,8.38,0xcb93d067d33a3541bc659f887ec76327b1d516ff1e21a6f25b6b369adc5e9b0d,1187766,1187477
https://devnet.zama.ai,18,15,156.13,44.22,45.45,1.55,8.24,0x8db26b6e0f876f6ba53fcfd6753175adb898eb460410b5ce03309f947902cfc1,1187730,1187441
https://devnet.zama.ai,19,51,156.16,44.22,53.66,1.57,4.01,0x54c2d12be8f35c7a423bdba9b6de3f70c3c11419f294e309c9832e118b3a0d1d,1187832,1187543
https://devnet.zama.ai,20,47,156.06,44.22,43.24,0.87,8.19,0x2415db83e88886514a53e9c62630de760d1c2c7ff43c181c65245e47756e729d,1187784,1187495
